Erreur	Correction	Fréquence	
seroit-ce	serait-ce	1 
porterois	porterois	1 
labaronne	abandonne	1 
b	b	1 
b	b	1 
nobleffe	noblesse	1 
bafles	balles	1 
talens	talent	1 
poiïede	poiïede	1 
fuis	fois	1 
secondez-moi	seconde-moi	1 
vòus	vòus	1 
frankner	franklin	1 
i	i	1 
frankner	franklin	1 
appeliez	appelez	1 
jérôtnesort)	jérôressort)	1 
ide	ide	1 
frankner	franklin	1 
frankner	franklin	1 
b	b	1 
frankner.	franklin.	1 
frankner	franklin	1 
obéiflez-ieur	obéiflez-leur	1 
frankner	franklin	1 
nousespérons	coursesérons	1 
frankner….	franklin….	1 
jur	jur	1 
fa	fa	1 
lie	lie	1 
appeliez	appelez	1 
b	b	1 
ilssortent	ressortent	1 
b	b	1 
fuis	fois	1 
faireje	faire	1 
veuxjes	vendues	1 
te’ndreste	te’reste	1 
frankner	franklin	1 
frankner	franklin	1 
frankner	franklin	1 
chere	cher	1 
j’étois	j’étois	1 
j’allois	j’allais	1 
lebarbare	barbares	1 
tien	tien	1 
torcerai	tournera	1 
reconnoissance	reconnaissance	1 
courions	courions	1 
jde	de	1 
frankner	franklin	1 
n’èst	n’èst	1 
m’inquiete	m’inquiet	1 
íe	íe	1 
fuis	fois	1 
réponds	réponds	1 
ah	ah	1 
momens	moment	1 
frankner	franklin	1 
pourroit	pourrait	1 
disputeroit-on	disputeront-on	1 
loix	loix	1 
parens	parents	1 
k	k	1 
ah	ah	1 
frankner	franklin	1 
devroit	devrait	1 
ranimermon	animeront	1 
fur	fur	1 
frankner,	franklin,	1 
m’amene	m’amener	1 
j’assurerai	j’assurera	1 
k	k	1 
k	k	1 
biôn	biôn	1 
qtiel--	qtiel--	1 
pair	pair	1 
fuis	fois	1 
l’affure	l’affaure	1 
sentimens	sentiment	1 
ayeux	yeux	1 
etf	etf	1 
ïendre	ïentre	1 
reconnoîtrd	reconnuître	1 
connoistez-vous	connaissez-vous	1 
périssez	périsse	1 
je	je	1 
frankner	franklin	1 
chere	cher	1 
fur	fur	1 
arrachez	arracher	1 
sûreté	sûreté	1 
quoi	quoi	1 
ma’ríendal	ma’ríendal	1 
frankner	franklin	1 
traice	traite	1 
fuis	fois	1 
peutil	peut	1 
sermens	serment	1 
solemnel	solennel	1 
frankner	franklin	1 
périrez	périre	1 
frankner	franklin	1 
maimer	aimer	1 
frankner	franklin	1 
réduirez	réduirez	1 
me	me	1 
demanderiez	demanderiez	1 
frankner	franklin	1 
frankner	franklin	1 
gmour	amour	1 
mariendal	marginal	1 
telien	telier	1 
frankner-	franklin-	1 
k	k	1 
ah	ah	1 
fabyme	abyme	1 
chere	cher	1 
frankner	franklin	1 
attentoît	attenteît	1 
seroit	serait	1 
eh	eh	1 
frankner	franklin	1 
qut	que	1 
iij	ii	1 
affez	effet	1 
m’arraehes	m’arracher	1 
frankner	franklin	1 
causez	cause	1 
frankner	franklin	1 
alîez	alîez	1 
donnez	donnez	1 
fuis	fois	1 
pauvoit	pouvoir	1 
n’aurois	n’aurais	1 
aue	aue	1 
mariendal	marginal	1 
b	b	1 
frankner	franklin	1 
seroit	serait	1 
feule	seule	1 
b	b	1 
rejetter	rejette	1 
ipénibles	ipénibles	1 
biy	bit	1 
vìnterrompanti	vìnterrompanti	1 
j’aimerois	j’aimerais	1 
yoir	voir	1 
où	où	1 
foibleíse	faibleíse	1 
elje	elle	1 
paílìon	parílìon	1 
auroit	aurait	1 
l’auroit	l’aurait	1 
adé~	adé~	1 
b	b	1 
m’oíïensez	m’oíïpensez	1 
g	g	1 
v	v	1 
connoissez	connaissez	1 
ii	ii	1 
fuis	fois	1 
ah	ah	1 
frankner.	franklin.	1 
ordonnerez	coordonner	1 
b	b	1 
paroître	paroître	1 
l’honnepr	l’honneur	1 
jortant	portant	1 
coupd’çál	coup’çál	1 
cene	cent	1 
i	i	1 
b	b	1 
jrendre	prendre	1 
b	b	1 
b	b	1 
frankner	franklin	1 
frankner	franklin	1 
gémiííemens	gémiííement	1 
teux	teux	1 
monpere	montre	1 
fuis	fois	1 
l’arrachez	l’arrache	1 
mariendal	marginal	1 
couvriroit	couvriront	1 
foibleíïe	faibleíïe	1 
b	b	1 
résistiez	résistez	1 
trouveriez	trouverez	1 
órdonneroit	ódonnerait	1 
taisez…	taisez…	1 
cessiez	cessez	1 
connoissez-vous’…	connaissez-vous’…	1 
b	b	1 
m’irritez	m’irrite	1 
fuis	fois	1 
b	b	1 
b	b	1 
aaut)	faut)	1 
n’as	n’as	1 
mien	mien	1 
tnere	there	1 
tes	tes	1 
seroit	serait	1 
enjortant)	entourant)	1 
mariendal	marginal	1 
frankner	franklin	1 
ah	ah	1 
fuis	fois	1 
hélas	hélas	1 
fans	fans	1 
jans	jans	1 
apperpue)	apparue)	1 
fur	fur	1 
pouvois	pouvoir	1 
apperçoit	apperçoit	1 
vécoutoit	vécoutait	1 
manquez	manquez	1 
aílez	aílez	1 
nv’est	n’est	1 
pourma	pourra	1 
ínoi	ínoi	1 
ayiez	aviez	1 
eh	eh	1 
pût	pût	1 
m’aífliger	m’aígliger	1 
ne’réponde	ne’réponde	1 
p	p	1 
labaronne	abandonne	1 
frankner….	franklin….	1 
labaronne	abandonne	1 
frankner	franklin	1 
seroit	serait	1 
ellese	elles	1 
etvòii	etvòii	1 
jonne)	bonne)	1 
fa	fa	1 
b	b	1 
frankner	franklin	1 
mariendal	marginal	1 
frankner	franklin	1 
eûttant	eûtant	1 
fa	fa	1 
frankner	franklin	1 
n’entrez	n’entrez	1 
(wsort)	(sort)	1 
frankner	franklin	1 
malheureuseadélaïde	malheureuseélaïde	1 
tes	tes	1 
frankner	franklin	1 
ah	ah	1 
frankner	franklin	1 
t-elîe	t-leîe	1 
la-vio-lenée	la-vio-lenée	1 
frankner	franklin	1 
frankner	franklin	1 
frankner	franklin	1 
estil	estim	1 
frankner	franklin	1 
ee	ee	1 
frankner,..	franklin,..	1 
frankner	franklin	1 
frankner	franklin	1 
vientdà	vientà	1 
ce	ce	1 
mariendal	marginal	1 
cene	cent	1 
frankner	franklin	1 
frankner	franklin	1 
ii	ii	1 
k	k	1 
frankner	franklin	1 
frankner	franklin	1 
l’avoit	l’avoit	1 
k	k	1 
t’enyoie	t’envoie	1 
ton	ton	1 
dechange	rechange	1 
frankner	franklin	1 
frankner	franklin	1 
liret	lire	1 
emprejsement	empressement	1 
frankner.	franklin.	1 
ma	ma	2 
pouc	pour	1 
tourmens	tourment	1 
ma	ma	2 
mariendal	marginal	1 
erankner	bernanke	1 
chere	cher	1 
ferepoussant	repoussant	1 
frankner	franklin	1 
obéissez	obéassez	1 
ne	ne	1 
répliquez	réplique	1 
reconnoître	reconnaître	1 
frankner	franklin	1 
affeetée)	affectée)	1 
ferez	ferez	1 
flattez	flatter	1 
-k	-k	1 
frankner	franklin	1 
m’aimiez….	m’aidiez….	1 
ciii	iii	1 
ide	ide	1 
t’aimoís	t’aimeís	1 
aurois-je	aurais-je	1 
frankner	franklin	1 
aflez	allez	1 
frankner	franklin	1 
fuis	fois	1 
k	k	1 
échappez	échapper	1 
frankner	franklin	1 
tufis	tunis	1 
fa	fa	1 
ton	ton	1 
k	k	1 
refuses	refuse	1 
frankner	franklin	1 
ton	ton	1 
fuis	fois	1 
feule	seule	1 
lt	lt	1 
ton	ton	1 
subirai	subira	1 
qu’ofes-tu	qu’ores-tu	1 
fuis	fois	2 
consens	condens	1 
suivras	suivra	1 
ta	ta	1 
dóivent-ils	dóoivent-ils	1 
paroître	paroître	1 
fuis	fois	2 
fuis	fois	1 
k	k	1 
fuis	fois	1 
arraçhons-nous	arrçhons-nous	1 
cme	cme	1 
efl	el	1 
fur	fur	1 
qila	vila	1 
mariendal	marginal	1 
devoit	devait	1 
aurois-je	aurais-je	1 
de/ma	de/ma	1 
concilions	conditions	1 
n’adopterai	n’adoptera	1 
frankner….	franklin….	1 
connois	connais	1 
fne	fne	1 
ah	ah	1 
pourrois	pourrons	1 
serois	serons	1 
sensque	ensuite	1 
frankner	franklin	1 
dece	dee	1 
naiíïoient	naiíïvient	1 
i	i	1 
jcérmez	jcérez	1 
constances’je	constance’je	1 
votrè’soeur	votreè’soeur	1 
dé-i	dé-i	1 
h	h	1 
v	v	1 
perey	perry	1 
mariendal	marginal	1 
afieyez-vous	asseyez-vous	1 
profoad	profond	1 
ensevelisse	ensevelis	1 
foiblesse	faiblesse	1 
devoit	devait	1 
guériroit	guériorit	1 
l’avqùer..	l’avùer..	1 
ëpoùsé’frankner	ëpoùsé’franklin	1 
h	h	1 
mêmé	mêmé	1 
rriori	priori	1 
fa	fa	1 
feule	seule	1 
vivoit	vivait	1 
jetterions	jetterions	1 
rappelleroit	rappelleroit	1 
seroit	serait	1 
instans	instant	1 
mettroi’t	mettrai’t	1 
perpétueroit	perpétuerait	1 
b’a	b’a	1 
desloix….	demploi….	1 
chevalièr,	chevalèr,	1 
hazard	hazard	1 
frankner	franklin	1 
deìui	deìui	1 
qn.-.-:	en.-.-:	1 
veuxtu’dire.;::.	veut’dire.;::.	1 
va	va	1 
aíloupis	aílouis	1 
pénétrer	pénétrer	1 
b	b	1 
chevalie’r	chevalier’r	1 
dis-.jesans	dis-.jeans	1 
ie	ie	1 
fais	fais	1 
delà	delà	1 
frankner	franklin	1 
ayeux	yeux	1 
noscroit	inscrit	1 
fans	fans	1 
b	b	1 
pourroit	pourrait	1 
b	b	1 
je	je	1 
lie	lie	1 
frémissez	frémisses	1 
b	b	1 
b	b	1 
b	b	1 
ma	ma	1 
sacrifiez	sacrifier	1 
connoissez	connaissez	1 
cbev	crev	1 
li	li	1 
fous	fous	1 
as	as	1 
h	h	1 
v	v	1 
tinsolent…	tinsolent…	1 
franknerî	franklinî	1 
seroit-elle	serait-elle	1 
b	b	1 
jouira	jouira	1 
fa	fa	1 
íaufaí	íauraí	1 
h	h	1 
v	v	1 
asyle	asile	1 
moa	moa	1 
rious	rioux	1 
échappej	échapper	1 
j’avois	j’avais	1 
frankner	franklin	1 
paroît	paroît	1 
frankner	franklin	1 
iîs	iîs	1 
chere	cher	1 
hazard’elle	hazard’elle	1 
robjet….	objet….	1 
protégez	protégez	1 
perféçuteurs0	perféçauteurs0	1 
frankner.	franklin.	1 
jous	nous	1 
k	k	1 
h	h	1 
v	v	1 
b	b	1 
ejl	el	1 
pleurs	pleurs	1 
fur	fur	1 
m’effrayent	m’effraient	1 
gueres	guerres	1 
jouis	jouis	1 
otes	tes	1 
je	je	1 
subirai	subira	1 
pourroit	pourrait	1 
frankner	franklin	1 
feule	seule	1 
mpnpere	mineure	1 
pardonnez-moij	pardonnez-moi	1 
tnainn	taient	1 
jettant	mettant	1 
tempòrte	tempòrte	1 
jl	l	1 
perfidej,,.	perfide,,.	1 
mes	mes	1 
yous	nous	1 
mariendal	marginal	1 
m’àtcabíex	m’àtabíex	1 
alie	alis	1 
cene	cent	1 
seulápfès	seuláprès	1 
l’usagé	l’usagé	1 
mes	mes	1 
j’aurois	j’aurais	1 
me	me	1 
rninterroger	interroger	1 
ta	ta	1 
lesaîns	lesîns	1 
rfous;dictée…	fous;dictée…	1 
qbu’aiije;faît.«	qu’ainsi;laît.«	1 
vieat-il	vient-il	1 
frankner	franklin	1 
frankner	franklin	1 
fuis	fois	1 
paroissez	paroisse	1 
b	b	1 
frankner	franklin	1 
ai-je	ai-je	1 
yous-méme	vous-méme	1 
bar	bar	1 
frankner	franklin	1 
frankner	franklin	1 
frankner	franklin	1 
frankner	franklin	1 
h	h	1 
v	v	1 
frankner	franklin	1 
connoissez	connaissez	1 
obéissez	obéassez	1 
frankner	franklin	1 
menacez	menace	1 
frankner	franklin	1 
ilsòrty	ilsòry	1 
sait	sait	1 
s’expie	s’expir	1 
eh	eh	1 
ame	ame	1 
faillie	faillite	1 
acét	acét	1 
p	p	1 
i	i	1 
jl/ans	l/ans	1 
fuis	fois	1 
àtappartement	àappartement	1 
fa	fa	1 
lé	lé	1 
nie	nie	1 
pourrois	pourrons	1 
fa	fa	1 
daas	daas	1 
cceur	coeur	1 
ma	ma	1 
fuis	fois	1 
l’ih-;	l’il-;	1 
grate	grave	1 
amaiit	avait	1 
b	b	1 
ïht	ïht	1 
doutez	doutez	1 
je	je	1 
persuadez-vous	persuader-vous	1 
b	b	1 
plusque	lorsque	1 
jepufle	expulse	1 
fous	fous	1 
rodoient	doivent	1 
ces	ces	1 
ii	ii	1 
franckner	francine	1 
enfans	enfans	1 
ma	ma	1 
s’adnsjs	s’denses	1 
frankner	franklin	1 
frankner	franklin	1 
s’apperçoit	s’apperçoit	1 
b	b	1 
feroit	feront	1 
humiliez	humilier	1 
pavez-vous	pavez-vous	1 
m’appelliez	m’appelle	1 
feule	seule	1 
aurois	aurais	2 
aurois	aurais	2 
n’auroit	n’aurait	1 
b	b	1 
n’aurois	n’aurais	1 
yous	nous	1 
íut	íut	1 
chere	cher	1 
devions	devions	1 
j’aurois	j’aurais	1 
b	b	1 
mouvemens	mouvement	1 
m’instruirez	m’instruire	1 
ny	ny	1 
feule	seule	1 
chere	cher	1 
tuas	tas	1 
frankner	franklin	1 
k	k	1 
jjonsieur’le	monsieur’le	1 
frankner	franklin	1 
feule	seule	1 
k	k	1 
frankner	franklin	1 
fuis	fois	1 
b	b	1 
frankner	franklin	1 
mafille	maille	1 
frankner	franklin	1 
frankner	franklin	1 
lf	lf	1 
frankner	franklin	1 
frankner	franklin	1 
orìt	orìt	1 
quelî©	quelî©	1 
fy	f	1 
éclaircissez	éclaircissez	1 
j’en	j’en	1 
priezle	rielle	1 
doutez	doutez	1 
frefe	free	1 
taisez	taisez	1 
b	b	1 
éclaircirai	éclaircir	1 
frankner	franklin	1 
îes	îes	1 
fóis.j’autai	fóis.j’aurai	1 
font	font	1 
b	b	1 
-dumoht	-dumont	1 
frankner	franklin	1 
étoit	étoit	1 
s’opposeroit-il	s’opposerait-il	1 
enfans	enfans	1 
dédaigneroit	dédangerosit	1 
frankner	franklin	1 
frankner	franklin	1 
b	b	1 
frankner,	franklin,	1 
frankner	franklin	1 
méconnoître	méconnaître	1 
fuis	fois	2 
fuis	fois	2 
fuite)	fuite)	1 
frankner	franklin	1 
unistons-nous	unissons-nous	1 
fuis	fois	1 
frankner	franklin	1 
ivous	vous	1 
seconderez	secondaire	1 
b	b	1 
tavoue	avoue	1 
m’arracheront	m’arrachent	1 
lieut	lieu	1 
jfait	fait	1 
déja	déja	1 
cendue	tendue	1 
avoit	avoit	1 
eh	eh	1 
eij	ei	1 
b	b	1 
i	i	1 
k	k	1 
jl/ieux	l/deux	1 
frankner	franklin	1 
laiíloit	laiísoit	1 
découvroit	découvrit	1 
là	là	1 
frankner)	franklin)	1 
dumonft	dumont	1 
k	k	1 
b	b	1 
jsi	si	1 
frankner’	franklin’	1 
b	b	1 
frankner	franklin	2 
frankner	franklin	2 
b	b	1 
frankner	franklin	1 
connois-tu	connais-tu	1 
iu	iu	1 
b	b	1 
b	b	1 
livroit	livrait	1 
temords	remords	1 
stma-grect	stm-grec	1 
b	b	1 
jaeref--—	alerte--—	1 
b	b	1 
jlaiíïe-moi	jaiíïe-moi	1 
répetè	répetè	1 
frankner	franklin	1 
jvet	jet	1 
frankner	franklin	1 
fyaroît)	faroît)	1 
k	k	1 
vqus	vous	1 
ctes	ces	1 
k	k	1 
frankner	franklin	1 
b	b	1 
q	q	1 
frankner	franklin	1 
j’igtiore	j’ignore	1 
b	b	1 
frankner	franklin	1 
oses	oses	1 
aiotr	piotr	1 
k	k	1 
fa	fa	1 
faudroit	faudrait	1 
lieuxaíïezsecrets..,,	lieuxíïsecrets..,,	1 
k	k	1 
yert	sert	1 
fuis	fois	1 
b	b	1 
lh	lh	1 
àriendè	àrienè	1 
jra.nk	ra.nk	1 
pourroit-on	pourrait-on	1 
b	b	1 
umont	mont	1 
veilleras	veillera	1 
snoi	soi	1 
daiisle	daille	1 
k	k	1 
ek	ek	1 
neceí	niceí	1 
b	b	1 
saon	son	1 
;_ftbéea	;_ftqéea	1 
jjf	jef	1 
k	k	1 
jupgu’auibouc’.etqu’aije	jusqu’caribou’.enqu’aise	1 
âïéúslï-jusqu’à	âïéúslï-jusqu’à	1 
jstíridre	estírire	1 
àxeux	àdeux	1 
bafpnne	bayonne	1 
dieuxl	dieux	1 
’jlè	’lè	1 
ay	ay	1 
:odu	:du	1 
bammì)	bamì)	1 
d’armeset	d’armes	1 
une’lampefépulchrale	une’lampeépulchrale	1 
connoissois	connaissons	1 
aurqis’je	aurais’je	1 
falloit	fallait	1 
reçoiventla	reçoivent	1 
instans	instant	1 
lesapprétsjleurs	lespritétisseurs	1 
.pent	.pent	1 
se’md’un	se’d’un	1 
déguisera-t-òn	déguiser-t-òn	1 
frankner	franklin	1 
martacher	marcher	1 
jne	une	1 
resteroit-il	resteront-il	1 
voudrois	voudrais	1 
l’inftant	l’instant	1 
l’inftànt	l’intànt	1 
’péut-être	’pét-être	1 
ya	ya	1 
stia	sia	1 
cmais	mais	1 
vd	vd	1 
ereueil),	recueil),	1 
myjìere)	myìere)	1 
c	c	1 
tourmens	tourment	1 
b	b	1 
he	he	1 
el	el	1 
ceûte	ceûte	1 
qkel	quel	1 
fuis	fois	1 
l’embraíïer	l’embrasíïer	1 
fur	fur	1 
b	b	1 
dppuyés	appuyés	1 
vun	un	1 
vautre	autre	1 
chancelants	chancelante	1 
dernieï	dernierï	1 
fiioment..	forment..	1 
frankner	franklin	1 
k	k	1 
tes	tes	1 
frankner…	franklin…	1 
estce	este	1 
frankner:.	franklin:.	1 
frankner	franklin	1 
frankner	franklin	1 
tes	tes	1 
délaiíds,	délaiíde,	1 
sle	sle	1 
ton	ton	2 
tou	tou	1 
períìstoit	períìsoit	1 
fa	fa	1 
ayeux…	yeux…	1 
ton	ton	2 
fans	fans	1 
n-k’n’e	n-a’n’e	1 
jettant	mettant	1 
raere	raire	1 
poreme	premier	1 
fnon	non	1 
jíeyous	jísous	1 
pasju	pasj	1 
frankner	franklin	1 
rnonfils	monfils	1 
mariendal	marginal	1 
sxs	ses	1 
cene	cent	1 
b	b	1 
frankner	franklin	1 
b	b	1 
frankner	franklin	2 
frankner	franklin	2 
k	k	1 
iras	iras	1 
ma	ma	1 
b	b	1 
pourrois	pourrons	1 
verrois	verrons	1 
/ilb	/il	1 
w"	w"	1 
voulez-vòus	voulez-vòus	1 
alloit	allait	1 
ea	ea	1 
b	b	1 
b	b	1 
ajaìlâïdmcourantàfamere	ajaìlâïcourantàfamere	1 
frankner	franklin	1 
frankner	franklin	1 
k	k	1 
q	q	1 
rkn	ren	1 
fur	fur	1 
b	b	1 
destiniez	destine	1 
asyle	asile	1 
frankner	franklin	1 
j’accèpterois	j’accètrois	1 
secouiísd’un	secouíd’un	1 
sait	sait	1 
franknes	franklin	1 
déja	déja	1 
b	b	1 
b	b	1 
baeon	baron	1 
inflant	infant	1 
b	b	1 
nòus	nòus	1 
b	b	1 
digne	digne	1 
sentimens	sentiment	1 
b	b	1 
iij	ii	1 
b	b	1 
manquoit	manquait	1 
b	b	1 
laissezr	laisser	1 
diî	diî	1 
lj’a	l’a	1 
b	b	1 
b	b	2 
b	b	2 
ad	ad	1 
impatiences	impatience	1 
frankner..,	franklin..,	1 
ççtrx’,	ççtre’,	1 
q	q	1 
frankner,	franklin,	1 
i	i	1 
paroître	paroître	1 
je	je	1 
frankner	franklin	1 
frankner	franklin	1 
k	k	1 
réchapperez	réchapper	1 
jeveux	neveux	1 
luis	luis	1 
fa	fa	1 
f…	f…	1 
mariendal	marginal	1 
frankner	franklin	1 
ma	ma	1 
frankner)	franklin)	1 
frankner	franklin	1 
contre"frankner	contre"frankie	1 
reparoître	reparaître	1 
sait	sait	1 
j	j	1 
máis	máis	1 
m’arrach©	m’arrach©	1 
fuis	fois	1 
k	k	1 
ah	ah	1 
laiflez-moi..,,	laissez-moi..,,	1 
frankner,	franklin,	1 
v	v	1 
b	b	1 
dei	dei	1 
s’attendrit….	s’attendait….	1 
b	b	1 
fauî	fauî	1 
mariend	marient	1 
k	k	1 
voua	voua	1 
l’abandonnei	l’abandonner	1 
h	h	1 
v	v	1 
monperè	monterè	1 
ab,	ab,	1 
filsj	fils	1 
frankner	franklin	1 
ta	ta	1 
pardonneras	pardonneras	1 
j’aurois	j’aurais	1 
l’exemplede	l’exemple	1 
ledon	leon	1 
b	b	1 
ei	ei	1 
frankner	franklin	1 
soumets	sommets	1 
frankner,	franklin,	1 
i	i	1 
donnert	donner	1 
frankner	franklin	1 
gelui	celui	1 
b	b	1 
frankner	franklin	1 
b	b	1 
b	b	1 
k	k	1 
enfans	enfans	1 
mariendal	marginal	1 
jur	jur	1 
veux	veux	1 
ma	ma	1 
sois	sois	1 
