Erreur	Correction	Fréquence	
pliscérébraux	plisérébraux	1 
flexueuses	luxueuses	1 
[anat	[anat	1 
meckel	merkel	1 
baillarger	bailliage	3 
racad	acad	1 
vllï	volï	1 
baillarger	bailliage	3 
baillarger	bailliage	3 
baillarger	bailliage	3 
rétrécissements	rétrécissement	1 
baillarger	bailliage	3 
baillarger	bailliage	3 
ieuillets	feuillets	1 
flexueux	luxueux	1 
écliancré	élanceré	1 
qu’où	qu’où	1 
gyri	gri	1 
malacarne	malchance	1 
mon	mon	1 
i°	i°	1 
plis	plis	7 
plis	plis	7 
plis	plis	7 
s"i-	s"i-	1 
plis	plis	7 
homologies	homologues	1 
plis	plis	7 
plis	plis	7 
plis	plis	7 
zèle	zèle	1 
sœmmering	sœderling	1 
spurzheim	spurzheim	1 
gennajo	gennaro	1 
facad	acad	1 
xxxv	xxx	1 
malacarne	malchance	1 
scissure	fissures	4 
scissure	fissures	4 
scissure	fissures	4 
scissure	fissures	4 
ke	ke	1 
tinuent	tinrent	1 
scissure	fissures	1 
processo	process	1 
reil	rel	1 
processi	process	1 
reil	rel	1 
whb).	web).	1 
i**	i**	1 
fiexueuse	fectueuse	1 
scissure	fissures	3 
yicq-d’azyr	vicq-d’azyr	1 
naît	naît	1 
flexueuses	luxueuses	1 
scissure	fissures	3 
scissure	fissures	3 
yoilà	voilà	1 
omettre	omettre	1 
scissure	fissures	1 
{gyri	{gri	1 
for-oiquée	for-piquée	1 
gyri	gri	1 
reil	rel	1 
’orps	’corps	1 
godronné	goudronné	1 
vuomme	comme	1 
papión	papión	2 
leui’et	lui’et	1 
scissure	fissures	4 
déjetée	déetée	1 
ss"),	ss"),	1 
scissure	fissures	4 
scissure	fissures	4 
pks	pas	1 
nest	nest	1 
papión	papión	2 
telle	telle	1 
scissure	fissures	4 
(encyd	(encod	1 
traduct	traduit	1 
foville	fouille	2 
(foville	(fouille	1 
processo	process	1 
foville	fouille	2 
pédonculaire	péconsulaire	1 
fente	fente	1 
richat	rachat	1 
naît	naît	1 
scissure	fissures	1 
foville	fouille	4 
foville	fouille	4 
scissure	fissures	1 
gyri	gri	1 
foville	fouille	4 
surcilière	sourcilière	2 
surcilière	sourcilière	2 
foville	fouille	4 
foville	fouille	1 
mes	mes	1 
plis	plis	3 
eue	eue	1 
l’orang-outang	l’orang-outan	1 
plis	plis	3 
wrolick	roddick	1 
orang-outang	orang-outan	1 
plis	plis	3 
dahord	dabord	1 
buffou	buffon	1 
vhylobâtes	phylogâtes	1 
l’orang-outang	l’orang-outan	1 
papión	papión	1 
cerebraux	cerveaux	1 
hapalinés	palinés	1 
iessine	dessine	1 
romplication	complication	1 
deuvent	peuvent	1 
plis	plis	1 
scissure	fissures	1 
elte	elle	1 
flexueux	luxueux	1 
scissures	fissures	1 
scissure	fissures	18 
scissure	fissures	18 
scissure	fissures	18 
scissure	fissures	18 
scissure	fissures	18 
scissure	fissures	18 
scissure	fissures	18 
scissure	fissures	18 
scissure	fissures	18 
scissure	fissures	18 
scissure	fissures	18 
saiuie	saisie	1 
scissure	fissures	18 
scissure	fissures	18 
scissure	fissures	18 
scissure	fissures	18 
scissure	fissures	18 
naît	naît	1 
scissure	fissures	18 
scissure	fissures	18 
lohe	love	1 
scissure	fissures	3 
sers	sers	1 
coronal	corona	1 
scissure	fissures	3 
coude	coude	1 
scissure	fissures	3 
distinguerons	distinguerons	1 
figdre	figure	1 
surcilier	sourciller	2 
fivntal	finale	1 
surcilier	sourciller	2 
coude	coude	2 
scissure	fissures	3 
coude	coude	2 
scissure	fissures	3 
scissure	fissures	3 
leuret	fleuret	1 
hapalinés	palinés	1 
yicq-d’azyr	vicq-d’azyr	1 
naît	naît	1 
scissure	fissures	10 
scissure	fissures	10 
recourber	recourber	1 
scissure	fissures	10 
diviserons	divisions	1 
scissure	fissures	10 
scissure	fissures	10 
scissure	fissures	10 
scissure	fissures	10 
scissure	fissures	10 
scissure	fissures	10 
scissure	fissures	10 
ee	ee	1 
distinguerons	distinguerons	1 
lé	lé	1 
très-grêle	très-rêle	1 
scissure	fissures	3 
défmi	défmi	1 
lèvres	lèvres	1 
scissure	fissures	3 
scissure	fissures	3 
scissure	fissures	9 
scissure	fissures	9 
scissure	fissures	9 
scissure	fissures	9 
scissure	fissures	9 
foville	fouille	1 
scissure	fissures	9 
scissure	fissures	9 
scissure	fissures	9 
scissure	fissures	9 
bnrd	bord	1 
(yicq-d’azyr).	(vicq-d’azyr).	1 
frange	frange	1 
plis	plis	2 
scissure	fissures	1 
plis	plis	2 
distinguerons	distinguerons	1 
scissures	fissures	1 
prm-cipales	pr-ciales	1 
scissure	fissures	14 
scissure	fissures	14 
bb’b"	bb’b"	1 
fextrémité	extrémité	1 
scissure	fissures	14 
scissure	fissures	14 
scissure	fissures	14 
scissure	fissures	14 
ancyroïde	lancerïde	1 
scissure	fissures	14 
yicq-d’azyr	vicq-d’azyr	2 
scissure	fissures	14 
scissure	fissures	14 
scissure	fissures	14 
yicq-d’azyr	vicq-d’azyr	2 
godronné	goudronné	1 
scissure	fissures	14 
scissure	fissures	14 
scissure	fissures	14 
scissure	fissures	14 
fronto-pariétal	fronti-pariétal	5 
occipito-temporal	occupait-temporal	1 
fronto-pariétal	fronti-pariétal	5 
fronto-pariétal	fronti-pariétal	5 
fronto-pariétal	fronti-pariétal	5 
foville	fouille	3 
godronné	goudronné	2 
fronto-pariétal	fronti-pariétal	5 
godronné	goudronné	2 
foville	fouille	3 
foville	fouille	3 
reil	rel	1 
scissure	fissures	4 
scissure	fissures	4 
occipito-temporal	occupait-temporal	2 
scissures	fissures	1 
distinguerons	distinguerons	1 
godronné	goudronné	2 
unciforme	uniforme	1 
scissure	fissures	4 
renfle	enfle	1 
godronné	goudronné	2 
occipito-temporal	occupait-temporal	2 
scissure	fissures	4 
xil	il	1 
colorier	colorer	1 
scissure	fissures	1 
mone	mone	2 
grivet	rivet	1 
mo7ie	mo7ie	1 
scissure	fissures	3 
mone	mone	2 
vhémisphere	vhédisperse	1 
scissure	fissures	3 
scissure	fissures	3 
ventelle	ventuelle	2 
colobes	colombes	2 
ventelle	ventuelle	2 
colobes	colombes	2 
reproduis	reproduit	1 
scissure	fissures	2 
scissure	fissures	2 
tousses	pousses	1 
scissures	fissures	1 
sépare	sépare	1 
scissure	fissures	5 
ventelle	ventuelle	3 
scissure	fissures	5 
scissure	fissures	5 
scissure	fissures	5 
ventelle	ventuelle	3 
fronto-parié-tale	fronti-parié-tale	1 
scissure	fissures	5 
celte	celte	1 
ventelle	ventuelle	3 
nasique	basique	1 
ventelle	ventuelle	1 
soulili	soleil	3 
soulili	soleil	3 
soulili	soleil	3 
a’orang-outang	a’orang-outan	1 
pulpeux	poulpe	1 
scissure	fissures	2 
naît	naît	1 
scissure	fissures	2 
venlelle	ventuelle	1 
ventelle	ventuelle	1 
sériai	sérial	1 
orang-outang	orang-outan	1 
l’orang-outang	l’orang-outan	2 
l’orang-outang	l’orang-outan	2 
tâge	tâge	1 
éducable	édurable	1 
rintelligence	intelligence	1 
diminuc-t-elle	diminu-t-elle	1 
otang	otan	1 
d’vn	d’un	1 
rattacherait-il	rattacherait-il	1 
thomme	homme	1 
baillarger	bailliage	2 
baillarger	bailliage	2 
•jui	•qui	1 
ventelle	ventuelle	2 
ventelle	ventuelle	2 
em-bryogéniques	em-cryogéniques	1 
descendons	descendants	1 
resemblance	ressemblance	1 
yiii	iii	2 
yiii	iii	2 
scissure	fissures	2 
scissure	fissures	2 
îoppe	îopte	1 
scissure	fissures	5 
eifet	effet	1 
signalerons	signalons	1 
scissure	fissures	5 
scissure	fissures	5 
macacjues	macaques	1 
scissure	fissures	5 
occipito-temporal	occupait-temporal	1 
scissure	fissures	5 
guenons	guenons	1 
séparerons	sépareront	1 
distinguerons	distinguerons	1 
inuus	indus	1 
mangabey	maniable	1 
ropithèques	droitèques	1 
scissure	fissures	1 
mandrills	mandrills	1 
hraïujies	hraïunies	1 
scissure	fissures	2 
chœropithèques	chœdroitèques	2 
plis	plis	2 
scissure	fissures	2 
chœropithèques	chœdroitèques	2 
mandrills	mandrills	3 
mandrills	mandrills	3 
fronto-pariétale	fronti-pariétale	2 
mandrills	mandrills	3 
plis	plis	2 
fronto-pariétale	fronti-pariétale	2 
recherclies	recherches	1 
l’orang-outang	l’orang-outan	1 
siamang	samsung	1 
vorang	orang	1 
clmnpanzé	chimpanzé	1 
orang-outang	orang-outan	1 
vorang	orang	2 
l’orang-outang	l’orang-outan	2 
l’orang-outang	l’orang-outan	2 
vorang	orang	2 
{yoy	{roy	1 
surcilier	sourciller	2 
très-flexueux	très-luxueux	1 
très-grèle	très-rèle	1 
scissure	fissures	4 
surcilier	sourciller	2 
flexueux	luxueux	1 
naît	naît	1 
scissure	fissures	4 
scissure	fissures	4 
l’orang-outang	l’orang-outan	1 
flexuosités	fectuosités	1 
vorang	orang	1 
lèvres	lèvres	1 
scissure	fissures	4 
wrolick	roddick	1 
vorang	orang	5 
ly	ly	1 
fronto-pariétal	fronti-pariétal	1 
vhomme	homme	1 
vorang	orang	5 
vorang	orang	5 
l’inférieur	l’inférieur	1 
vorang	orang	5 
rapprochons	rapprochons	1 
vorang	orang	5 
orang-outang	orang-outan	1 
vorang-outang	orang-outan	1 
wrolick	roddick	1 
orang-outang	orang-outan	1 
l’orang-outang	l’orang-outan	1 
vorang-outang	orang-outan	2 
vorang-outang	orang-outan	2 
(pl	(pl	1 
surcilier	sourciller	1 
flexueux	luxueux	1 
flexuosités	fectuosités	1 
scissure	fissures	2 
(yoy	(roy	1 
vorang	orang	1 
scissure	fissures	2 
très-grêle	très-rêle	1 
flexueuse	luxueuse	1 
orangs	orangs	1 
l’orang-outang	l’orang-outan	1 
signalerons	signalons	1 
scissure	fissures	2 
vorang	orang	1 
scissure	fissures	2 
vabsence	absence	1 
vorang-outang	orang-outan	1 
rapprochons	rapprochons	1 
vorang	orang	1 
battel	battle	1 
ovy	vy	1 
à’engé-êna	à’engé-êna	1 
vorang-outang	orang-outan	2 
venché-êko	enché-êko	1 
vorang-outang	orang-outan	2 
franquet	franque	1 
du-	du-	1 
vernoy	vernon	1 
surcilières	sourcilières	1 
proclives	proactive	1 
hasarderai	hasarderai	1 
plis	plis	2 
vorang-outang	orang-outan	1 
plis	plis	2 
vorang	orang	3 
vorang	orang	3 
plis	plis	3 
aupoint	appoint	1 
vorang	orang	3 
plis	plis	3 
plis	plis	3 
ossifiées	modifiées	1 
orangs	orangs	1 
ossifiées	modifiées	1 
retzius	retenus	1 
vorang	orang	1 
babouln	babouln	1 
i’orang-outang	i’orang-outan	1 
mo-	mo-	1 
grao’jc	grav’jc	1 
vorang	orang	5 
venche-êko	penche-êko	2 
vorang	orang	5 
vorang	orang	5 
vorang	orang	5 
étincellent	étincelle	1 
enche-êkos	encha-êkos	1 
déduirons	déduisons	1 
vorang	orang	5 
venche-êko	penche-êko	2 
autochthones	autochtones	1 
macacus	accus	1 
lyxites	limites	1 
vorang	orang	2 
vorang-outang	orang-outan	1 
soupçonnons	soupçdonnons	1 
vorang	orang	2 
conclurons	conclurons	1 
scissure	fissures	1 
vhomme	homme	1 
coude	coude	1 
scissure	fissures	4 
scissure	fissures	4 
très-élargi	très-élargi	1 
scissure	fissures	4 
scissure	fissures	4 
fronto-pariétale	fronti-pariétale	1 
scissures	fissures	1 
occipito-sphénoïdal	occupait-sphénoïdal	1 
surcilier	sourciller	2 
surcilier	sourciller	2 
flexueux	luxueux	1 
surcilier	sourciller	1 
houentote	houlette	1 
attifé	actifé	1 
n’oserions	n’serions	1 
scissure	fissures	2 
flexueux	luxueux	3 
flexueux	luxueux	3 
flexueux	luxueux	3 
s’arrondissant	s’arrondissent	1 
scissure	fissures	2 
corrélatives	corrégatives	1 
scissure	fissures	4 
(yoy	(roy	1 
flexueux	luxueux	2 
scissure	fissures	4 
vorang	orang	2 
vhomme	homme	1 
vorang	orang	2 
naît	naît	1 
scissure	fissures	4 
scissure	fissures	4 
flexueux	luxueux	2 
coniine	confine	1 
flexueux	luxueux	1 
très-flexueux	très-luxueux	1 
scissure	fissures	1 
surcilier	sourciller	1 
recourbant	recourant	1 
flexueux	luxueux	2 
scissure	fissures	3 
orang-outang	orang-outan	1 
scissure	fissures	3 
vhomme	homme	2 
scissure	fissures	3 
flexueux	luxueux	2 
aprofondie	approfondie	1 
vorang	orang	3 
vhomme	homme	2 
vorang	orang	3 
yan-der-rolk	yan-der-rock	1 
wrolick	roddick	1 
vorang	orang	3 
j’attache	j’attache	1 
l’orang-outang	l’orang-outan	2 
naît	naît	1 
l’orang-outang	l’orang-outan	2 
riiémisphère	rieémisphère	1 
scissure	fissures	2 
scissure	fissures	2 
fronto-pariétal	fronti-pariétal	3 
scissures	fissures	1 
fronto-pariétal	fronti-pariétal	3 
fronto-pariétal	fronti-pariétal	3 
foville	fouille	1 
flexueux	luxueux	2 
occipito-temporal	occupait-temporal	1 
occipito-sphénoïdal	occupait-sphénoïdal	1 
unciforme	uniforme	3 
flexueux	luxueux	2 
scissure	fissures	2 
unciforme	uniforme	3 
scissure	fissures	2 
unciforme	uniforme	3 
difliculté	difficulté	1 
xxy	xx	1 
vespèce	vespèce	1 
houentote	houlette	1 
caucasique	caustique	1 
regrettais	regrettait	1 
supposais	supposait	1 
baillarger	bailliage	1 
lélut	lélut	1 
baillarger	bailliage	1 
caucasique	caustique	1 
telle	telle	1 
l’honwtie	l’phonie	1 
surcilier	sourciller	1 
scissure	fissures	1 
fût	fût	1 
d’azlecs	d’rales	1 
parfaitemenf	parfaitement	1 
très-gais	très-gais	1 
dclkoés	dulkoés	1 
fiécipi’oquement	fiécipit’quement	1 
siences	sciences	1 
obscurcies	obscures	1 
tintérieur	tintérieur	1 
topinion	opinion	1 
texistence	existence	1 
pyg-mées	pdg-mées	1 
use	use	1 
multa	multi	1 
{llist	{list	1 
jsole	sole	1 
ghilânes	philânes	1 
vafrique	afrique	1 
antres	antres	1 
part	part	1 
bo-tocudes	bo-toutes	1 
l’en-téiéchie	l’en-téléchie	1 
exactly	exacte	1 
resemble	ressemble	1 
parisians	parisiens	1 
organs	organis	2 
ylgents	clients	1 
organs	organis	2 
pyg-"	pdg-"	1 
thomme	homme	1 
ani-	ani-	1 
vhistoire	histoire	1 
humours	humour	1 
fluids	fluide	1 
consists	consiste	1 
organical	organisa	1 
nobler	noble	1 
faculties	culatives	1 
certainly	certains	1 
principle	principe	1 
buflon	buffon	1 
parfaitc-«	parfait-«	1 
forang	orang	1 
a-t-ii	a-t-il	1 
srir	soir	1 
lecat	lecat	1 
éniinente	éimminente	1 
leibnitz	leibniz	1 
sîatum	sîaum	1 
prœsentem	prœsente	1 
d’ofïensant	d’ofïenfant	1 
plis	plis	2 
plis	plis	2 
cerebraux	cerveaux	1 
kricoç	ricoç	1 
ec/	ec/	1 
yiv	iv	1 
kricof	rico	1 
uiôhko	uiôko	1 
(|ue	(|ue	1 
áteles	átels	3 
sajous	sous	1 
aotes	notes	1 
pinches	pinces	1 
cèbes	cèbes	1 
alouates	alouettes	1 
l’atèle	l’etèle	1 
áteles	átels	3 
áteles	átels	3 
íouaíes	íouaíes	1 
(mycetcs	(celtics	1 
luig),	lui),	1 
préhenseur	préfenseur	1 
unie	unie	1 
aomie	amie	1 
grêle	grêle	1 
l’atèle	l’etèle	1 
sais	sais	1 
résolvait	résolvant	1 
scissure	fissures	8 
scissure	fissures	8 
scissure	fissures	8 
scissure	fissures	8 
coude	coude	1 
scissure	fissures	8 
scissure	fissures	8 
scissure	fissures	8 
mone	mone	1 
scissure	fissures	8 
scissure	fissures	5 
scissure	fissures	5 
scissure	fissures	5 
l’atèle	l’etèle	3 
scissure	fissures	5 
scissure	fissures	5 
l’operculq	l’opercule	1 
l’atèle	l’etèle	3 
l’atèle	l’etèle	3 
scissure	fissures	2 
sajous	sous	3 
sajous	sous	3 
sajous	sous	3 
sai	sai	1 
sajou	savou	1 
atèles	atèles	3 
fronto-pariétale	fronti-pariétale	1 
atèles	atèles	3 
atèles	atèles	3 
cèbes	cèbes	1 
scissure	fissures	2 
sommmet	sommet	1 
irès-sensible	très-sensible	1 
tonte	tonte	1 
revancbe	revanche	1 
scissure	fissures	2 
scissure	fissures	2 
fronto-pariétal	fronti-pariétal	1 
occipito-temporal	occupait-temporal	1 
(îonvaincre	(îconvaincre	1 
régulièremeni	régulièrement	1 
capucina	capucins	1 
capuciii	capucins	1 
qorge	gorge	1 
sajou	savou	1 
sajous	sous	1 
grouper	grouper	1 
sai’et	sai’et	1 
grêle	grêle	1 
sajou	savou	2 
scissure	fissures	3 
lèvres	lèvres	1 
scissure	fissures	3 
cèbes	cèbes	2 
cèbes	cèbes	2 
sajous	sous	6 
sajous	sous	6 
sajous	sous	6 
exceptons	exceptions	1 
patas	patas	1 
sajous	sous	6 
scissure	fissures	3 
sajous	sous	6 
sajou	savou	2 
sajous	sous	6 
tapplication	application	1 
déciderions	déciderons	1 
dcms	dems	1 
sous-genrc	sous-genre	1 
sajous	sous	1 
cèbes	cèbes	1 
xxxl	xxx	1 
scissure	fissures	5 
fronto-pariétal	fronti-pariétal	1 
scissures	fissures	2 
scissures	fissures	2 
scissure	fissures	5 
scissure	fissures	5 
scissure	fissures	5 
scissure	fissures	5 
saimiri	saisir	1 
uest	est	1 
épais	épais	1 
scissure	fissures	3 
sépare	sépare	1 
l’aote	l’acte	1 
pinches	pinces	1 
scissure	fissures	3 
scissure	fissures	3 
unie	unie	1 
sajou	savou	1 
démontrerai	démontrera	1 
pinches	pinces	1 
unie	unie	1 
d’hapale	d’papale	1 
d’orangs	d’orangs	1 
(’himpanzés	(’chimpanzés	1 
morgny	morgny	1 
(jui	(qui	1 
scissure	fissures	2 
his-tologique	his-ologique	1 
scissure	fissures	2 
corrélatifs	corrégatifs	2 
corrélatifs	corrégatifs	2 
i*"	i*"	1 
plis	plis	4 
bumain	humain	1 
plis	plis	4 
plis	plis	4 
hapale	papale	1 
plis	plis	4 
vascu-laire	vacu-laire	1 
saurien	saurien	1 
paries	paris	1 
moulent	roulent	1 
scissures	fissures	1 
in-teruiédiaire	in-terniédiaire	1 
scissure	fissures	9 
scissure	fissures	9 
scissure	fissures	9 
scissure	fissures	9 
divisons	divisions	1 
surcilier	sourciller	1 
flexueux	luxueux	1 
scissure	fissures	9 
oii	ois	1 
chéropithèques	chédroitèques	1 
scissure	fissures	9 
sajous	sous	1 
scissure	fissures	9 
orangs	orangs	1 
atèles	atèles	1 
scissure	fissures	9 
scissure	fissures	9 
plicatures	pictures	1 
atèles	atèles	1 
chéropithèques	chédroitèques	1 
sajous	sous	1 
cèbes	cèbes	3 
scissure	fissures	2 
topercule	opercule	1 
flexueux	luxueux	1 
colobes	colombes	1 
cèbes	cèbes	3 
scissure	fissures	2 
cèbes	cèbes	3 
atèle	atèle	1 
chéropithèques	chédroitèques	1 
sajous	sous	1 
scissures	fissures	1 
scissure	fissures	11 
scissure	fissures	11 
scissure	fissures	11 
guenons	guenons	1 
scissure	fissures	11 
scissure	fissures	11 
scissure	fissures	11 
fronto-pariétal	fronti-pariétal	2 
scissure	fissures	11 
scissure	fissures	11 
scissure	fissures	11 
occipito-temporal	occupait-temporal	1 
scissure	fissures	11 
fronto-pariétal	fronti-pariétal	2 
scissure	fissures	11 
atèles	atèles	1 
occipito-temporal	occupait-temporal	2 
godronné	goudronné	1 
très-grèle	très-rèle	1 
scissure	fissures	4 
occipito-temporal	occupait-temporal	2 
fronto-pariétal	fronti-pariétal	1 
l’inférieur	l’inférieur	1 
scissure	fissures	4 
scissure	fissures	4 
scissure	fissures	4 
scissure	fissures	3 
éloigne	éloigne	1 
l’atèle	l’etèle	1 
lagotriche	lagotriche	1 
papión	papión	1 
mandrill	madril	1 
xxxv	xxx	1 
scissure	fissures	3 
scissure	fissures	3 
analo-niiques	anglo-niques	1 
nègre	nègre	1 
orang-outang	orang-outan	1 
l’invariabilité	l’variabilité	1 
l’iiportakce	l’importance	1 
n’essayerai	n’essayera	1 
attribuerons	attributions	1 
s’atrophient	s’atrophie	1 
consumment	consomment	1 
phs	pas	1 
caucasique	caustique	1 
mandrills	mandrills	1 
atèles	atèles	2 
sajous	sous	1 
épais	épais	1 
j’aie	j’aie	1 
-caques	-casques	1 
vorang-outang	orang-outan	1 
atèles	atèles	2 
marquables	remarquable	1 
nopitlièques	hopitalèques	1 
vorang	orang	1 
sajous	sous	3 
lohule	lohule	1 
atèles	atèles	3 
orangs	orangs	2 
scissure	fissures	1 
sajous	sous	3 
atèles	atèles	3 
vhomme	homme	1 
sériai	sérial	1 
orangs	orangs	2 
sajous	sous	3 
atèles	atèles	3 
lohe	love	1 
scissure	fissures	1 
vorang	orang	1 
atèles	atèles	2 
vhomme	homme	2 
plis	plis	2 
distinguerons	distinguerons	1 
pinche	penche	1 
yénus	yénus	1 
atèles	atèles	2 
orarigs	sormais	1 
vhomme	homme	2 
plis	plis	2 
sajous	sous	3 
atèles	atèles	3 
scissure	fissures	1 
vhomme	homme	2 
atèles	atèles	3 
sajous	sous	3 
vhomme	homme	2 
atèles	atèles	3 
sajous	sous	3 
fronto-pariétal	fronti-pariétal	1 
scissure	fissures	1 
cyïiocéphales	cyïiocéphales	1 
xxxyh	xxx	1 
uns	uns	1 
phrénologie	phrénologie	1 
phrénologiste	phrécologiste	1 
plis	plis	3 
plis	plis	3 
papión	papión	1 
sectateur	spectateur	1 
plis	plis	3 
crânioscopie	crâoscopique	3 
crânioscopie	crâoscopique	3 
flourens	lourdes	1 
crânioscopie	crâoscopique	3 
oken	open	1 
seolasti(|ues	solstice(|ues	1 
tnoyen	troyen	1 
scissures	fissures	1 
pariéto-fron-tales	pariéto-fran-tales	1 
plis	plis	1 
foville	fouille	1 
crânioscopie	crâoscopique	1 
oserait	oserait	1 
phrénologie	phrénologie	1 
l’entenilement	l’entendement	1 
ijueii	injure	1 
flourens	lourdes	1 
l’in-ielligence	l’in-intelligence	1 
posé	posé	1 
dianoia	danois	1 
l’in-telligence	l’in-intelligence	1 
nécessan’ement	nécessa’ement	1 
queje	queue	1 
soumets	sommets	1 
substi	subi	1 
l’viiis	l’viii	1 
dk	dk	1 
