Erreur	Correction	Fréquence	
an-’	ans	1 
propter	propre	4 
cellulis	cellules	1 
imaginationis	imaginations	1 
nempe	tempe	2 
uberiorem	uberiorem	1 
iterare	terre	1 
coramoveri	coramoveri	1 
requiruntur	requiruntur	1 
quem	que	1 
cerebro	celebre	2 
haud	haut	1 
existit	existait	1 
dispensaiionem	dispensaiionem	1 
atque	que	1 
physica	physical	1 
cerebrum	cerebrum	1 
animalium	animalier	2 
hasce	hasch	1 
jusqu’à	jusquà	1 
animali	animal	1 
naturœ	nature	1 
lugd,	lundi	1 
día	da	1 
plicte	police	1 
s’en	sien	1 
illioc	illico	1 
ejus	jus	1 
mutabilia	mutabilia	1 
in-quibusdam	in-quibusdam	1 
apothecis	apothecis	1 
spirituosi	spiritus	1 
medica	media	1 
quam	quai	2 
unimi	unité	1 
utiones	étions	1 
functionis	fonctions	1 
miiltiplices	miiltiplices	1 
órbitas	orbites	1 
diversis	diverses	1 
exigentiœ	exigent	1 
xyu"	yu	1 
sive	site	2 
¦í	de	1 
instinctus	instincts	1 
meditantur	meditantur	1 
saog	sang	1 
petitur	petit	1 
evocari	evocari	1 
cerebri	(cerebri	1 
tota	total	1 
quare	quatre	1 
dicimus	décimés	1 
deterndnata	deterndnata	1 
iimis	mis	1 
saípe	sape	1 
cabanis	cabanes	1 
auiem	aime	1 
fortuita	fortuite	1 
anatomistes	anatomiques	1 
«	a	10 
finem	fine	1 
fele	file	1 
quovis	quoi	1 
kœc	mec	1 
nécessitas	nécessités	1 
tanq	tant	1 
queant	quant	1 
momenti	moment	1 
anima-«	animaux	1 
dispensatione	dispensatione	1 
motusque	mousquet	1 
compages	compares	1 
majores	majors	1 
sectateur	spectateur	1 
superiorwn	superiorwn	1 
rjyri	rjyri	1 
species	soucies	1 
rios	ris	1 
plures	pleures	1 
circonvolutiones	circonvolutions	2 
reminiscuntur	reminiscuntur	1 
quosdam	quidam	1 
figura	figure	1 
minoris	minois	1 
attamen	attamen	1 
plicse	plisse	1 
indéterminés	indéterminée	1 
certa	berta	1 
spirituim	spirituel	1 
distinctos	distinctes	1 
non-seulement	non-seulement	1 
varios	variés	1 
amtome	atome	1 
anatomiste	anatomie	2 
istse	liste	1 
va-"	va	1 
fractuosa	fractuosa	1 
quelques-unes	quelques-unes	1 
cancellos	cancellos	1 
gyri	gyro	1 
variegantur	variegantur	1 
istos	infos	1 
vix	vie	1 
diataxi	diataxi	1 
prcbstant	prcbstant	1 
commodiorem	commodore	1 
sensibilium	sensibilité	1 
purkinje	purkinje	1 
pauciores	paupières	1 
alio	allo	1 
bruta	brute	1 
eosdem	modem	1 
excréteurs	excréteurs	1 
alimenti"	aliments	1 
facultatum	facultatif	1 
laxes	lames	1 
hinc	zinc	1 
idcirco	idcirco	1 
occasione	occasion	1 
qum	que	1 
siiggerunt	siiggerunt	1 
anfractuum	anfractuum	1 
memorise	mémorise	1 
iium	film	1 
e-xercitia	e-xercitia	1 
animalis	animales	1 
»	a	2 
ííoo	zoo	1 
inquriitur	inquriitur	1 
§	a	1 
iieceptíonem	iieceptíonem	1 
debent	devant	1 
malpighi	malpighi	2 
istis	isis	1 
sint	sont	1 
y/illis	faillis	1 
ceríos	certes	1 
tiim	tim	1 
reservari	reservoir	1 
incertâ	inerte	1 
quadrupedibus	quadrupedibus	1 
liomine	limite	1 
isti	ist	1 
reperiuntur	reperiuntur	1 
uti	uni	1 
fabricari	fabricant	1 
diversimodas	diversimodas	1 
spirituum	spirituel	2 
sard	tard	1 
méd,	mode	1 
inféconde	féconde	1 
s’il	sil	1 
sectateurs	spectateurs	1 
dooiiées	dominées	1 
[anat	tant	1 
barbouillées	barbouillée	1 
racad	race	1 
sœmmering	sœmmering	2 
fig	fin	1 
pliscérébraux	pliscérébraux	1 
languissante	languissant	1 
gall	all	2 
ïi-	il	1 
vicq-d’azyr	vicq-d’azyr	2 
s’agissait	agissait	2 
flexueuses	luxueuses	1 
vllï	elle	1 
parchappe	parchappe	1 
yicq-d’azyr	yicq-d’azyr	1 
meckel	teckel	1 
baillarger	baillarger	3 
appréciables	appréciable	1 
aujourd’hui	aujourdhui	1 
c’est-à-dire	c’est-à-dire	1 
causauvielh	causauvielh	1 
phré-nologie	phré-nologie	1 
a-t-elle	actuelle	1 
devanciers	devancer	2 
s’efface	efface	1 
anatomiste	anatomie	1 
au-dessus	au-dessus	1 
renflés	enflés	1 
amincies	minces	1 
renflements	ronflements	1 
rétrécissements	rétrécissement	1 
limbe	lime	1 
ieuillets	feuillets	1 
stratifiées	stratifiées	2 
rayonnantes	rayonnante	4 
flexueux	luxueux	1 
ténuité	ténacité	1 
baillarger	baillarger	3 
très-peu	très-peu	1 
i°	il	1 
convolutiones	convolutiones	1 
malacarne	malacarne	1 
s’élèvent-ils	s’élèvent-ils	1 
très-constante	très-constante	1 
entéroïdes	stéroïdes	2 
fibrilles	fibrille	1 
plicœ	police	1 
limbe	lime	4 
très-importante	très-importante	1 
moulées	moules	1 
foliacés	opiacés	1 
dénominations	dénomination	2 
gyri	gyro	1 
sont-ils	sont-ils	1 
néologisme	néologisme	1 
rentrants	rentrant	1 
écliancré	écliancré	1 
s’applique	applique	1 
homologies	homologues	1 
m’a	ma	1 
carnassier	cardassien	1 
m’efforçant	m’efforçant	1 
eux-mêmes	eux-mêmes	1 
rayonnantes	rayonnante	1 
s"i-	suis	1 
très-différentes	très-différentes	1 
m’élever	élever	1 
anatomistes	anatomiques	1 
an-thropologistes	anthropologiste	1 
tiedemann	tiedemann	2 
puisqu’ils	puisqu’ils	2 
s’expriment	expriment	1 
(1).	(1)	1 
s’est	sest	1 
lett	let	1 
stalh	stall	1 
pourrait-on	pourrait-on	1 
s’enrichit	enrichit	1 
malacarne	malacarne	1 
spurzheim	spurzheim	1 
gennajo	gennajo	1 
turin	turn	1 
sœmmering	sœmmering	1 
inaltérabilité	inaltérabilité	1 
—	a	1 
pariétales	pariétale	1 
non-seulement	non-seulement	1 
gall	all	1 
cerebrali	cerebrali	1 
103).	103)	1 
struttiira	struttiira	1 
vicq-d’azyr	vicq-d’azyr	1 
anatomiste	anatomie	1 
scissure	fissure	4 
reil	oeil	1 
m’empêcher	empêcher	1 
eux-mêmes	eux-mêmes	1 
sylvius	sylvia	3 
cit,	cité	1 
m’ont	mont	1 
aujourd’hui	aujourdhui	1 
gay-lussac	gay-lussac	1 
emisferi	emisferi	1 
entéroîdes	entéroîdes	3 
facad	facade	1 
figurées	figures	1 
mém	mm	1 
xxxv	xxx	1 
descript,	descriptif	1 
crêtée	crête	3 
processo	process	1 
cruveilhier	cruveilhier	2 
digitations	imitations	1 
tiedemann	tiedemann	1 
orbitaires	ordinaires	1 
spurzheim	spurzheim	1 
au-dessus	au-dessus	2 
successive	successives	1 
pédoncules	pétoncles	1 
entéroïdes	stéroïdes	1 
—	a	1 
anatomistes	anatomiques	1 
cristato	cristal	1 
gall	all	1 
reil	oeil	1 
jusqu’à	jusquà	1 
vicq-d’azyr	vicq-d’azyr	1 
s’unissent	réunissent	1 
au-dessous	au-dessous	1 
quelques-unes	quelques-unes	2 
tinuent	tintent	1 
1836).	1836)	1 
scissure	fissure	1 
fiexueuse	fiexueuse	1 
crêtée	crête	1 
très-bien	très-bien	1 
cruveilhier	cruveilhier	4 
4’	de	1 
marginales	marginale	1 
°	a	2 
longitudiiiali	longitudiiiali	1 
ce).	ce)	1 
sphé-noïdale	sphé-noïdale	1 
processi	process	1 
fig	fin	1 
pariétales	pariétale	2 
(aa).	(aa)	1 
reil	oeil	1 
3°	de	1 
bb).	bb)	1 
flexueuses	luxueuses	1 
3"	de	1 
whb).	whb)	1 
sylvius	sylvia	3 
cit,	cité	2 
2°	de	1 
yicq-d’azyr	yicq-d’azyr	1 
occipitales	occipitale	2 
anfractuosité	l’anfractuosité	4 
anfractuosités	anfractuosités	1 
scissure	fissure	3 
yoilà	voilà	1 
3).	3)	1 
imparfaitement	parfaitement	1 
°	a	1 
for-oiquée	for-oiquée	1 
très-certainement	très-certainement	1 
citerons	citrons	1 
vo-«	vous	1 
très-exactement	très-exactement	1 
4°	de	1 
fréd	fred	1 
fig	fin	4 
’orps	corps	1 
pariétales	pariétale	1 
«	a	2 
non-seulement	non-seulement	1 
fasc	fac	1 
anat,	anata	1 
godronné	goudronné	1 
hime	aime	1 
anatomiste	anatomie	2 
3°	3)	1 
reil	oeil	1 
viï	vie	1 
viii	xiii	1 
turici	turc	1 
»	a	1 
sylvius	sylvia	1 
1°	1)	1 
1838).	1838)	1 
cendré	cendre	1 
orbitaire	ordinaire	1 
gyri	gyro	2 
s’attache	attache	1 
s’empêcher	empêcher	1 
scissure	fissure	1 
arnoldi	arnold	1 
brèves).	brèves)	1 
s’élève	soulève	1 
-f),	f)	1 
i).	i)	1 
ñîòð	ñîòð	1 
ss"),	ss")	1 
iiip	iii	1 
4),	4)	1 
-b	b	1 
au-dessus	au-dessus	1 
iip	ii	1 
s’y	say	1 
pks	pas	1 
—.	de	1 
fig	fin	4 
jusqu’aux	jusquau	1 
5).	5)	1 
pariétales	pariétale	1 
prolongements	prolongement	1 
leui’et	leui’et	1 
(1).	(1)	1 
anatomiste	anatomie	1 
xv	tv	2 
s.),	s.)	1 
s’unir	subir	1 
papión	papier	2 
sylvius	sylvia	3 
leuret	fleuret	5 
déjetée	jetée	1 
s’unit	suit	1 
scissure	fissure	4 
397).	397)	1 
sus-orbitaires	sus-orbitaires	1 
vuomme	vomme	1 
s’élève	soulève	1 
processo	process	1 
cruveilhier	cruveilhier	1 
convexité	convoité	1 
quadrilatère	quadrilatère	2 
tubérosité	tubérosité	1 
—	a	1 
iconographiques	iconographiques	1 
lui-même	lui-même	1 
foville	fouille	2 
cristato	cristal	1 
succinct	succinct	2 
anat,	anata	1 
s’est	sest	1 
s’exagère	exagère	1 
anatomiste	anatomie	1 
jusqu’à	jusquà	1 
traduct	traduit	1 
cérébro-spinal,	cérébro-spinal,	1 
richat	rachat	1 
sylvius	sylvia	1 
1843).	1843)	1 
cérébello-temporale	cérébello-temporale	1 
leuret	fleuret	2 
pédonculaire	pédonculaire	1 
nevrotomiste	nevrotomiste	1 
fr,	fr	1 
scissure	fissure	1 
ouistitis	ouistiti	1 
devanciers	devancer	1 
convexité	convoité	1 
serpentent	serpentant	1 
circonvolutionnaires	circonvolutionnaires	1 
obliquement	publiquement	1 
surcilière	sourcilière	2 
quadrilatère	quadrilatère	2 
4°	de	1 
tubérosité	tubérosité	2 
foville	fouille	4 
3°	de	1 
s’étend	prétend	1 
sylvius	sylvia	1 
anastomosées	anastomose	1 
1°	de	1 
2°	de	2 
orbitaire	ordinaire	1 
au-dessous	au-dessous	1 
gyri	gyro	1 
médio-pariétale	médio-pariétale	4 
scissure	fissure	1 
l’orang-outang	l’orang-outang	1 
déterminations	détermination	1 
vvrolik	vvrolik	1 
orang-outang	orang-outang	1 
tiedemann	tiedemann	3 
sandifort	sandifort	1 
buffou	buffet	1 
spurzheim	spurzheim	1 
l’in-telligeuce	l’in-telligeuce	1 
foville	fouille	1 
gall	all	2 
(1).	(1)	1 
anatomiste	anatomie	1 
wrolick	wrolick	1 
kolk	folk	1 
dahord	dabord	1 
bornerai-je	bornerai-je	1 
est-elle	estelle	1 
inexactes	inexacte	1 
patas	papas	1 
§"v	tv	1 
l’orang-outang	l’orang-outang	1 
très-obscures	très-obscures	1 
saï	sa	1 
vhylobâtes	vhylobâtes	1 
tiedemann	tiedemann	2 
sandifort	sandifort	1 
très-préférables	très-préférables	1 
citerons	citrons	1 
ligures	figures	1 
nemestrinus	nemestrinus	1 
papión	papier	1 
rhœsus	rhésus	1 
sabœus	abus	1 
leuret	fleuret	1 
syndactylus	syndactylus	1 
pithecus	pithecus	1 
midas	minas	1 
patas	papas	1 
s’agit	sagit	1 
insectivores	insectivores	1 
cerebraux	cérébraux	1 
impérieusement	impérieusement	1 
§	a	1 
chauves-souris	chauves-souris	1 
hapalinés	hapalinés	1 
.’íes	.’íes	1 
(hemisphœria).	(hemisphœria)	1 
blainville	blainville	1 
circonvolutionnaire	circonvolutionnaire	1 
iessine	dessine	1 
anatomistes	anatomiques	1 
ovoïde	droïde	1 
callitriche	callitriche	4 
romplication	complication	1 
sabœus	abus	1 
§	a	1 
s’élèvent	élèvent	1 
m’ont	mont	1 
ostéologique	astrologique	1 
deuvent	peuvent	1 
pithecus	pithecus	1 
elte	elle	1 
c’est-à-dire	c’est-à-dire	1 
vii	vie	1 
scissure	fissure	1 
a-t-il	atil	1 
très-profonds	très-profonds	1 
s’unissant	réunissant	1 
au-dessus	au-dessus	1 
s’attendre	attendre	1 
s’agrandissent	agrandissent	1 
très-simples	très-simples	1 
délimitations	délimitation	1 
l’hémi-sphère	l’hémisphère	1 
callitriche	callitriche	1 
jusqu’au	jusquau	1 
à’extrémité	l’extrémité	1 
flexueux	luxueux	1 
dénominations	dénomination	1 
au-dessous	au-dessous	2 
vm	va	1 
s’appellera	appellera	1 
s’infléchit	s’infléchit	1 
saiuie	saisie	1 
au-dessus	au-dessus	1 
strié	strip	1 
sylvius	sylvia	8 
transversalement	transversalement	1 
§	a	1 
s’inclinant	inclinant	1 
intelligibles	intelligible	1 
ultérieures	ultérieure	1 
anatomistes	anatomiques	2 
scissure	fissure	18 
dhnsula	dansla	1 
échancrure	échancrée	1 
scissures	fissures	1 
délimitations	délimitation	1 
concave	conclave	1 
transversal	transversale	1 
°	a	1 
s’infléchissant	s’infléchissant	1 
succinctement	succinctement	1 
orbitaires	ordinaires	2 
au-dessus	au-dessus	1 
longitudinaux	longitudinale	2 
subdivisé	subtilisé	1 
coronal	corona	1 
—	a	1 
très-constants	très-constants	1 
callitriche	callitriche	2 
sylvius	sylvia	3 
dénominations	dénomination	2 
orbitaire	ordinaire	3 
lobule	globule	6 
distinguerons	distinguerons	1 
lohe	love	1 
temporo-spkénoïdal	temporo-spkénoïdal	1 
distinguons	distingués	1 
scissure	fissure	3 
peut-on	peyton	1 
figdre	figure	1 
surcilier	sourciller	2 
a"	a	1 
au-dessus	au-dessus	2 
très-remarquables	très-remarquables	1 
vétage	étage	1 
1".	1".	1 
hapalinés	hapalinés	1 
jusqu’à	jusquà	1 
a’	a	1 
jusqu’au	jusquau	1 
sylvius	sylvia	2 
yicq-d’azyr	yicq-d’azyr	1 
leuret	fleuret	1 
s’infléchit	s’infléchit	1 
bb	bu	1 
fivntal	final	1 
b’	bu	2 
scissure	fissure	3 
très-profond	très-profond	1 
cynocéphales	cynocéphales	1 
3°	de	1 
recourber	retourner	1 
2’’	n’a	1 
4"	de	1 
occipitaux	occipital	1 
postérieurement	postérieurement	1 
jusqu’au	jusquau	1 
très-obliques	très-obliques	1 
sylvius	sylvia	4 
très-profonde	très-profonde	1 
1°	de	1 
temporo-sphénoïdal	temporo-sphénoïdal	3 
vnnepartie	vnnepartie	1 
scissure	fissure	10 
c’.	ce	1 
au-dessous	au-dessous	1 
infléchie	infléchir	1 
inférieurement	intérieurement	1 
très-grêle	très-grêle	1 
opercule	percute	3 
1"	de	1 
lobule	globule	1 
3"	de	1 
défmi	défi	1 
2"	de	1 
pithèques	pithèques	1 
ix	il	1 
callitriche	callitriche	1 
ultérieures	ultérieure	1 
§	a	1 
scissure	fissure	3 
au-dessous	au-dessous	1 
distinguerons	distinguerons	1 
scissure	fissure	9 
s’unissant	réunissant	1 
2).	2)	1 
désignerons	désigneront	1 
occipitaux	occipital	1 
callitriche	callitriche	3 
sylvius	sylvia	6 
jusqu’au	jusquau	1 
bnrd	bord	1 
s’agit	sagit	1 
§	a	1 
foville	fouille	1 
scissure	fissure	1 
m’a	ma	1 
approximatives	approximative	1 
pédoncules	pétoncles	1 
quadrilatère	quadrilatère	1 
sylvius	sylvia	1 
s’engagent	engagent	1 
§	a	1 
convergents	convergent	1 
tronqués	tronqué	1 
(yicq-d’azyr).	(yicq-d’azyr)	1 
b"	bu	1 
trac-tus	tractus	1 
moniliforme	moniliforme	1 
intraventriculaires	intraventriculaires	1 
bifurquant	bifurquons	1 
au-dessus	au-dessus	1 
fextrémité	extrémité	1 
b’,	bon	1 
scissures	fissures	1 
godronné	goudronné	1 
très-simple	très-simple	1 
scissure	fissure	14 
bb’b"	bb’b"	1 
s’arrête	arrête	1 
limbe	lime	1 
callitriche	callitriche	1 
yicq-d’azyr	yicq-d’azyr	2 
distinguerons	distinguerons	1 
prm-cipales	principales	1 
b’	bu	1 
c’est-à-dire	c’est-à-dire	3 
arrondies	arrondis	1 
s’étend	prétend	1 
ancyroïde	androïde	1 
s’élève	soulève	1 
crêtée	crête	1 
1"	de	1 
s’élargit	élargit	1 
figurée	figure	1 
au-dessus	au-dessus	1 
sœmme-ring	sœmme-ring	1 
quadrilatère	quadrilatère	2 
anatomistes	anatomiques	2 
cc—ica	chica	1 
foville	fouille	3 
godronné	goudronné	2 
inci	ici	1 
reil	oeil	1 
3°	de	1 
vicq-d’azyr	vicq-d’azyr	1 
mamelonné	mamelons	1 
callitriche	callitriche	2 
jusqu’au	jusquau	1 
àes	les	1 
lobule	globule	6 
au-dessous	au-dessous	2 
très-sim	très-sim	1 
2"	de	1 
c’est-à-dire	c’est-à-dire	1 
fronto-pariétal	fronto-pariétal	5 
distinguons	distingués	1 
occipito-temporal	occipito-temporal	1 
s’élève	soulève	1 
s’élargit	élargit	1 
s’unissant	réunissant	1 
très-simples	très-simples	1 
quadrilatère	quadrilatère	3 
unciforme	uniforme	1 
dé-	dés	1 
demi-circulaire	demi-circulaire	1 
intelligibles	intelligible	1 
scissures	fissures	1 
godronné	goudronné	2 
xil	il	1 
renfle	ronfle	1 
callitriche	callitriche	1 
§	a	1 
au-dessous	au-dessous	1 
lobule	globule	8 
distinguerons	distinguerons	1 
scissure	fissure	4 
recourbe	retourne	1 
vhippocampe	hippocampe	2 
occipito-temporal	occipito-temporal	2 
très-peu	très-peu	1 
orbitaires	ordinaires	1 
blainville	blainville	1 
cynocéphales	cynocéphales	1 
très-simples	très-simples	1 
littérales	littérale	1 
temporo-sphéroïdal	temporo-sphéroïdal	1 
peut-être	peutêtre	1 
anatomistes	anatomiques	1 
généralité	généralisé	1 
m’a	ma	1 
semno-pithèques	semno-pithèques	1 
laurillard	laurillard	1 
callitriche	callitriche	2 
sylvius	sylvia	1 
orbitaire	ordinaire	1 
§	a	1 
lobule	globule	2 
cuvier	cuver	1 
incisures	incisives	1 
s’établissent	établissent	1 
ultérieures	ultérieure	1 
très-déprimé	très-déprimé	1 
scissure	fissure	1 
s’élève	soulève	1 
très-saillant	très-saillant	1 
mone	mon	2 
au-dessus	au-dessus	1 
vhémisphere	hémisphère	1 
quadrilatère	quadrilatère	1 
fig	fin	1 
malbrouck	malbrouck	1 
temporo-sphénoïdal	temporo-sphénoïdal	1 
incisure	inclure	1 
très-aigu	très-aigu	1 
très-relevée	très-relevée	2 
très-serré	très-serré	1 
jusqu’à	jusquà	1 
très-difficiles	très-difficiles	1 
très-court	très-court	1 
irrécusable	irréfutable	1 
eux-mêmes	eux-mêmes	1 
jusqu’au	jusquau	1 
callitriche	callitriche	5 
mo7ie	momie	1 
lobule	globule	2 
très-petit	très-petit	1 
incisures	incisives	1 
grivet	grive	1 
scissure	fissure	3 
patas	papas	3 
semnopithèques	semnopithèques	4 
m’étais	étais	1 
maurus	maures	1 
semnopithèque	semnopithèque	3 
ventelle	dentelle	2 
9).	9)	1 
fig	fin	3 
larvatus	larvatus	1 
pariétaux	pariétal	1 
s’est	sest	1 
jusqu’à	jusquà	1 
2).	2)	1 
s’inclinent	s’inclinent	1 
s’agrandit	agrandit	1 
sylvius	sylvia	2 
disais-je	disais-je	1 
1°	de	1 
cercopithèques	cercopithèques	1 
lobule	globule	1 
colobes	colombes	2 
cuvier	cuver	1 
sous-genre	sous-genre	1 
m’ont	mont	1 
ultérieures	ultérieure	1 
scissure	fissure	2 
nasi-que	basique	1 
s’atrophie	atrophie	1 
semnopithèques	semnopithèques	3 
serai-je	serai-je	1 
soiilili	soiilili	1 
m’ayant	ayant	1 
semnopithèque	semnopithèque	2 
ventelle	dentelle	3 
en-telle	dentelle	1 
nasique	basique	1 
anatomistes	anatomiques	1 
celui-ci	celui-ci	1 
scissures	fissures	1 
très-aigu	très-aigu	1 
oblitérée	oblitéré	1 
callitriche	callitriche	1 
sylvius	sylvia	2 
1°	de	1 
cercopithèques	cercopithèques	1 
s’en	sien	1 
au-dessous	au-dessous	1 
frappantes	frappante	1 
fronto-parié-tale	fronto-parié-tale	1 
entelle	dentelle	1 
scissure	fissure	5 
semnopithèques	semnopithèques	1 
circonvolutionnaires	circonvolutionnaires	1 
sandifort	sandifort	2 
ventelle	dentelle	1 
diard	dard	1 
fig	fin	1 
subdivisé	subtilisé	1 
fi’onlal	fi’onlal	1 
soulili	souillé	3 
syndactyle	syndactyle	1 
chevreul	chevreuil	1 
xv	tv	1 
irrécusables	irréfutables	1 
3"	de	1 
laurillard	laurillard	1 
éveillait	veillait	1 
incisures	incisives	1 
a’orang-outang	a’orang-outang	1 
2"	2)	1 
très-grand	très-grand	1 
semnopithèques	semnopithèques	1 
incomplètement	complètement	1 
sont-elles	sont-elles	1 
iv.	ivy	1 
diard	dard	1 
ventelle	dentelle	1 
fig	fin	1 
cercopithèque	cercopithèque	1 
très-grandes	très-grandes	1 
3);	3)	2 
pariétaux	pariétal	1 
venlelle	dentelle	1 
3°	3)	1 
m’a	ma	1 
sylvius	sylvia	2 
1°	de	1 
2°	de	2 
cercopithèques	cercopithèques	1 
4"	de	1 
5°	de	1 
sériai	sérial	1 
scissure	fissure	2 
remarquerons	remarqueront	1 
s’agit	sagit	1 
l’orang-outang	l’orang-outang	2 
soa	son	1 
s’il	sil	1 
celle-ci	celle-ci	1 
incomplètement	complètement	1 
fontanelles	fontanelle	1 
orang-outang	orang-outang	1 
crétinisme	crétinisme	1 
hegel	hôtel	1 
diminuc-t-elle	diminuc-t-elle	1 
rintelligence	intelligence	1 
1»	de	1 
peut-être	peutêtre	1 
2»	de	1 
très-avancé	très-avancé	1 
s’effacent	effacent	1 
s’est	sest	1 
jusqu’à	jusquà	2 
s’agrandit-elle	s’agrandit-elle	1 
30à	à	1 
indétermination	détermination	1 
jui	qui	1 
otang	étang	1 
cendré	cendre	1 
thomme	homme	1 
baillarger	baillarger	2 
microcéphales	microcéphales	1 
aujourd’hui	aujourdhui	1 
s’éveiller	surveiller	1 
faut-il	fauteil	1 
rattacherait-il	rattacherait-il	1 
éducable	durable	1 
soudent	souvent	1 
est-elle	estelle	2 
(2).	(2)	1 
lamère	amère	1 
tâge	âge	1 
semnopithèques	semnopithèques	1 
décrirons	écrirons	1 
tiedemann	tiedemann	1 
s’accroît	accroît	2 
déshéritent	déshériter	1 
ventelle	dentelle	2 
sériaux	sérieux	1 
jusqu’aux	jusquau	1 
buf-fon	bouffon	1 
anatomistes	anatomiques	1 
pithèques	pithèques	1 
non-seulement	non-seulement	1 
s’arrêtant	arrêtant	1 
(1).	(1)	1 
em-bryogéniques	em-bryogéniques	1 
irrécusable	irréfutable	1 
magots	ragots	1 
xvi	xi	1 
§	a	1 
s’en	sien	1 
resemblance	ressemblance	1 
lelut	peut	1 
remarquerons	remarqueront	1 
très-haut	très-haut	1 
gracilité	facilité	1 
déve	dave	1 
très-grand	très-grand	1 
yiii	xiii	2 
incisures	incisives	2 
3"	de	1 
xyil	il	1 
très-large	très-large	1 
très-courte	très-courte	1 
4°	de	1 
maïmon	maison	2 
fig	fin	2 
§	a	1 
11).	11)	1 
scissure	fissure	2 
8);	8)	1 
très-long	très-long	1 
très-grand	très-grand	1 
grêles	grêle	1 
macacjues	macaques	1 
°	a	1 
signalerons	signaleront	1 
eifet	effet	1 
cynocéphales	cynocéphales	1 
quadrilatère	quadrilatère	1 
très-courte	très-courte	1 
temporo-sphénoïdal	temporo-sphénoïdal	1 
pariétaux	pariétal	1 
3°	de	1 
callitriche	callitriche	2 
sylvius	sylvia	2 
2°	de	1 
lobule	globule	3 
très-longue	très-longue	1 
incisures	incisives	1 
très-reculée	très-reculée	1 
très-grande	très-grande	1 
très-sembîabîes	très-sembîabîes	1 
s’engage	engage	1 
scissure	fissure	5 
remarquerons	remarqueront	2 
occipito-temporal	occipito-temporal	1 
îoppe	moppe	1 
très-grand	très-grand	1 
1"	de	2 
sinuosités	sinuosités	1 
maïmon	maison	1 
°	a	1 
quadrilatère	quadrilatère	1 
4»	de	1 
s’évase	s’évase	1 
non-seulement	non-seulement	1 
inuus	nous	1 
rectiligne	rectiligne	1 
ropithèques	ropithèques	1 
3°	de	1 
mandrills	mandrills	1 
mangabey	mangabey	1 
xvïil	avril	1 
2°	de	2 
§	a	1 
s’en	sien	1 
lobule	globule	3 
distinguerons	distinguerons	1 
pithecus	pithecus	1 
papions	parions	1 
incisures	incisives	2 
c’est-à-dire	c’est-à-dire	1 
scissure	fissure	1 
pariéto-occipitale	pariéto-occipitale	1 
1"	de	1 
8).	8)	1 
classifications	classification	1 
hraïujies	hraïujies	1 
s’agrandir	agrandir	1 
3’’	3’’	1 
s’allonge	rallonge	1 
cynocéphales	cynocéphales	1 
