Erreur_détectée	Correction_proposée	Contexte	Fichier
vat	bat	 à la fin de la traduction du chancîmes o b s e r vat o n s ii le churning el l’hiftoire des premiers e	5419000.txt
ii	ici	de la traduction du chancîmes o b s e r bat o n s iii le churning el l’hiftoire des premiers empereurs	5419000.txt
churning	chourina	raduction du chancîmes o b s e r bat o n s ici le churning el l’hiftoire des premiers empereurs relativement	5419000.txt
thinking	timing	principes fur la morale et fur le gouvernement le thinkingl un recueil de poésies composées sous les règnes 	5419000.txt
troisieme	troisième	ecueil de poésies composées sous les règnes de la troisieme race et dans lesquelles on décrit les moeurs les 	5419000.txt
tchun	chu	provinces sous la dépendance de l’empereur (i) le tchunfiou c’eft-à-dire le printemps et l’automne el un 	5419000.txt
eft	est	us la dépendance de l’empereur (i) le chu-tfiou c’eft-à-dire le printemps et l’automne el un ou(i) duha	5419000.txt
duhalde	duale	’est-à-dire le printemps et l’automne et un ou(i) duhaldeip 108 ai  le like eft le recueil dés rites se des	5419000.txt
like	lie	mps et l’automne et un ou(i) duale:.ip 108 ai  le likeeft le recueil dés rites se des devoirs l’ancien g	5419000.txt
eft	est	et l’automne et un ou(i) duale:.ip 108 ai  le lie eft le recueil dés rites se des devoirs l’ancien gouv	5419000.txt
haldeibidp	Pas de correction trouvée	rites se des devoirs l’ancien gouvernement (i) du haldeibidp 318 o b s e avait o n s v y eft représenté d’une 	5419000.txt
eft	est	ent (i) du haldeibidp 318 o b s e avait o n s v y eft représenté d’une manière (impie et la morale des 	5419000.txt
kings	King	t par les annales de la chine que la doctrine des kingsétait la morale et la politique de cet empire depu	5419000.txt
aujourdhui	aujourd'hui	que de cet empire depuis fa fondation alors comme aujourdhuii elle avoit pour objet les devoirs des rois et de	5419000.txt
fon	Fond	et du fils du mari et de la femme de l’ami envers fond ami dans ces temps comme aujourdhui on l’enfeign	5419000.txt
aujourdhui	aujourd'hui	mme de l’ami envers Fond ami dans ces temps comme aujourdhuii on l’enfeignoit dans toutes les villes dans tous	5419000.txt
enfeignoit	enfreignit	rs Fond ami dans ces temps comme aujourd'hui on l’enfeignoit dans toutes les villes dans tous les bourgs dans 	5419000.txt
icing	coing	s bourgs dans tous les villages (i) notice de l’y-icing, mm des shin t 4 p 6 a ii  elle fut d’abord renfe	5419000.txt
shin	sein	tous les villages (i) notice de l’y-coing, mm des shin t 4 p 6 a ii  elle fut d’abord renfermée dans des	5419000.txt
ii	ici	es (i) notice de l’y-coing, mm des sein t 4 p 6 a iii  elle fut d’abord renfermée dans des maximes dan	5419000.txt
king	King	e leurs auditeurs tel était comme je l’ai dit l’y-king qui connytoit en emblèmes qui exprimaient les idé	5419000.txt
connytoit	contrit	uditeurs tel était comme je l’ai dit l’y-King qui connytoitn emblèmes qui exprimaient les idées des vertus et	5419000.txt
churning	chourina	ient les idées des vertus et des vices tel étoile churning que l’on doit regarder comme un traité de morale 	5419000.txt
oates	osâtes	aité de morale et comme un monument historique où oatess les informerons sont rapportées à l’occafion des	5419000.txt
occafion	occasion	que où osâtes les informerons sont rapportées à l’occafion des événements observations va il falloir donc da	5419000.txt
moralepolitiquede	Pas de correction trouvée	pplication pour bien entendre les principes de la moralepolitiquede la chine et pour peu qu’il y eût d’interruption o	5419000.txt
qu	que	ipes de la moralepolitiquede la chine et pour peu que’il y eût d’interruption ou de relâchement dans l	5419000.txt
néceflîté	nécessité	endus et l’on devoir moins sentir et connaître la néceflîté de suivre la doctrine qu’ils renferment c’efl ce 	5419000.txt
qu	que	r et connaître la nécessité de suivre la doctrine que’ils renferment c’efl ce qui arriva lorsque le tr	5419000.txt
efl	et	essité de suivre la doctrine que’ils renferment c’eflce qui arriva lorsque le trône fut occupé par des 	5419000.txt
qu	que	tueux que les législateurs se qui sentirent moins que’eux la néceflîté d’entre  l’ignorance et les vic	5419000.txt
néceflîté	nécessité	es législateurs se qui sentirent moins que’eux la néceflîté d’entre  l’ignorance et les vices profitent de ce	5419000.txt
introduifent	introduisent	nt de ce moment de négligence et de relâchement s’introduifent à la cour et de la cour fe communiquent aux grand	5419000.txt
vat	bat	 pour ces mêmes loin ce conflit allume  o b s e r vat ions il guerre et pendant plusieurs fields c’cft 	5419000.txt
fields	fiels	o b s e r bat ions il guerre et pendant plusieurs fieldsc’cft le respect ou le mépris pour le gouvernement	5419000.txt
cft	cf	r bat ions il guerre et pendant plusieurs fiels c’cftle respect ou le mépris pour le gouvernement primi	5419000.txt
defendre	défendre	nement primitif qui élevé au trône ou qui en fait defendre cependant les guerres fréquentes interrompent le 	5419000.txt
inftruâion	Pas de correction trouvée	les guerres fréquentes interrompent le cours de l’inftruâion et le progrès de la vertu il fe forme plus de gue	5419000.txt
qu	que	 des vertus que la barbarie ne peut éteindre mais que’elle rend inutiles la généralisé et la continuit	5419000.txt
impoflîbilité	impossibilité	tie de la nation qui ne pouvoir pas éclairer et l’impoflîbilité de éclairer fit tomber dans l’oubli les livres dé	5419000.txt
confucius	confusions	 et effet l’un de l’autre a l’âge de dix-neuf ans confuciuss aperçut la cause des maux qui défilaient fa patr	5419000.txt
rttablifsant	rétablissant	atrie et forma le projet d’en arrêter le cours en rttablifsant dans les esprits la doc trône  des premiers temps	5419000.txt
doc	d'oc	êter le cours en rétablissant dans les esprits la docc trône  des premiers temps les chinois n’ayant pl	5419000.txt
xiii	ixia	 la capacité d’attention ni la agacé observations xiii liant au corps de leur doctrine un degré de clart	5419000.txt
fubfîitoit	Pas de correction trouvée	u bonheur de la chine sous les premiers empereurs fubfîitoit encore dans tout l’empire et les peuples foupiroi	5419000.txt
foupiroient	foudroient	bfîitoit encore dans tout l’empire et les peuples foupiroientaprès le rétablissement de l’ancien gouvernement o	5419000.txt
emprefsa	empressa	s le rétablissement de l’ancien gouvernement on s’emprefsa d’écouter confucius qui malgré fa jeunesse en pos	5419000.txt
confucius	confusions	 de l’ancien gouvernement on s’empressa d’écouter confuciuss qui malgré fa jeunesse en possédait tous les pri	5419000.txt
etdonnoit	Pas de correction trouvée	cipes les rendait intelligible aux moins capables etdonnoit à tous l’exemple des vertus qu’ils prescrivent to	5419000.txt
qu	que	ns capables etdonnoit à tous l’exemple des vertus que’ils prescrivent tome ii b  ses succès portèrent 	5419000.txt
ii	ici	ous l’exemple des vertus que’ils prescrivent tome iii b  ses succès portèrent fa réputation jusquà la 	5419000.txt
jusquà	jusqu'à	nt tome ici b  ses succès portèrent fa réputation jusquàà la cour du prince de lou qui pour lui procurer l	5419000.txt
lou	loua	tèrent fa réputation jusqu'à la cour du prince de loua qui pour lui procurer les moyens de fubiïltcr lu	5419000.txt
fubiïltcr	Pas de correction trouvée	rince de loua qui pour lui procurer les moyens de fubiïltcr lui donna l’intendance des bestiaux il remplissai	5419000.txt
lorfqu	lorsqu	ntendance des bestiaux il remplissait ce mandarin lorfqu’il souleva des troubles dans la principauté de lo	5419000.txt
lou	loua	qu’il souleva des troubles dans la principauté de loua il en sortit et y revint quelque temps après mai	5419000.txt
qu	que	emps après mais il y ton fans emploi ce fut alors que’il rétablit les livres classiques des anciens : 	5419000.txt
lou	loua	t auprès de lui il devint célèbre et le prince de loua lui donna la présidence du tribunal des ouvrages	5419000.txt
tv	TVA	e désintéressement avec lequel il en observations tvA remplit les fonctions furent universellement app	5419000.txt
confucius	confusions	is et il fut élevé à la charge de ministre d’état confuciuss en peut à peine pris pofseiïion qu’il fit arrête	5419000.txt
pofseiïion	Pas de correction trouvée	e ministre d’état confusions en peut à peine pris pofseiïion qu’il fit arrêter et mourir chao-tching-mao qui c	5419000.txt
qu	que	d’état confusions en peut à peine pris pofseiïion que’il fit arrêter et mourir chao-tching-mao qui cau	5419000.txt
chao	chaos	eine pris pofseiïion que’il fit arrêter et mourir chaos-tching-mao qui causait du désordre dans le gouve	5419000.txt
chea	chéra	me plus criminel que ce sil était voleur de grand cheaa  min un coeur fourbe une con suite artificielle 	5419000.txt
big	bis	enfin une cornée plaisance naturelle dans le mal  big  le châtiment de ce courtisan pervers changea sub	5419000.txt
lou	loua	 subitement les moeurs des grands et du peuple de loua le prince de si fut effrayé des effets de la ver	5419000.txt
lou	loua	effrayé des effets de la vertu dans le royaume de loua il résolut d’en arrêter le progrès en attaquant 	5419000.txt
renouveller	renouveler	ttaquant la vertu même du prince sous prétexte de renouvelleramitié (i) hit généré de la chine tome i s page io	5419000.txt
hit	Hist	 du prince sous prétexte de renouveler amitié (i) hitt généré de la chine tome i s page ion oj s e avai	5419000.txt
oj	oh	tié (i) Hist généré de la chine tome i s page ion oj s e avait on s svp avec lui il lui envoya un prés	5419000.txt
svp	sep	é de la chine tome i s page ion oh s e avait on s svp avec lui il lui envoya un présent de femmes d’une	5419000.txt
lou	loua	eauté rare se excellentes cantatrice le prince de loua reçut le présent et négliger le gouvernement de 	5419000.txt
fon	Fond	a reçut le présent et négliger le gouvernement de fond état confucius en sortit et fe retira dans la pr	5419000.txt
confucius	confusions	 présent et négliger le gouvernement de Fond état confuciuss en sortit et fe retira dans la province d’ouéi l	5419000.txt
ouéi	ouïe	fusions en sortit et fe retira dans la province d’ouéi ling-kong prince d’ouéi accompagné de la princess	5419000.txt
ling	linga	ns en sortit et fe retira dans la province d’ouïe linga-kong prince d’ouéi accompagné de la princesse fo	5419000.txt
ouéi	ouïe	etira dans la province d’ouïe linga-kong prince d’ouéi accompagné de la princesse fon épouse aperçut con	5419000.txt
fon	Fond	nga-kong prince d’ouïe accompagné de la princesse fond épouse aperçut confucrus et le fit monter dans f	5419000.txt
confucrus	concourus	ïe accompagné de la princesse Fond épouse aperçut confucrus et le fit monter dans fon char un moment après il	5419000.txt
fon	Fond	nd épouse aperçut concourus et le fit monter dans fond char un moment après il arriva dans une place où	5419000.txt
avois	avoirs	ndait un spectacle ah 1 s’écria confus  crus je n’avoiss pas vu jufqu’ici ce qu’un homme qui aime vent  b	5419000.txt
jufqu	jusqu	acle ah 1 s’écria confus  crus je n’avoirs pas vu jufqu’ici ce qu’un homme qui aime vent  blâment la vert	5419000.txt
qu	que	cria confus  crus je n’avoirs pas vu jusqu’ici ce que’un homme qui aime vent  blâment la vertu fe plût	5419000.txt
ii	ici	ui aime vent  blâment la vertu fe plût à la corne iii  a pagaie de gens qui ne sont attaa clés qu’au p	5419000.txt
attaa	attaqua	plût à la corne ici  a pagaie de gens qui ne sont attaaua clés qu’au plaisir a confucius descendit aufïït	5419000.txt
qu	que	ne ici  a pagaie de gens qui ne sont attaqua clés que’au plaisir a confucius descendit aufïïtôt se fe 	5419000.txt
confucius	confusions	de gens qui ne sont attaqua clés que’au plaisir a confuciuss descendit aufïïtôt se fe retira dans la principa	5419000.txt
aufïïtôt	aussitôt	ttaqua clés que’au plaisir a confusions descendit aufïïtôt se fe retira dans la principauté de to il n’y tro	5419000.txt
to	toc	ndit aussitôt se fe retira dans la principauté de toc il n’y trouva pas assez de disposition à recevoi	5419000.txt
say	sa	 assez de disposition à recevoir fa doctrine pour sayfixer 5 il passa dans la priacipautéde song accomp	5419000.txt
priacipautéde	Pas de correction trouvée	voir fa doctrine pour sa fixer 5 il passa dans la priacipautéde song accompagné d’un grand nombre de disciples da	5419000.txt
song	songe	ne pour sa fixer 5 il passa dans la priacipautéde songe accompagné d’un grand nombre de disciples dans l	5419000.txt
qu	que	agné d’un grand nombre de disciples dans le temps que’il les inftruifoït fur les cérémonies et fur leu	5419000.txt
inftruifoït	Pas de correction trouvée	rand nombre de disciples dans le temps que’il les inftruifoït fur les cérémonies et fur leur utilité un préside	5419000.txt
confucius	confusions	al de la guerre fondit fur lui le faire à la main confuciuss évite le coup qu’il lui portait fans paraître ém	5419000.txt
qu	que	r lui le faire à la main confusions évite le coup que’il lui portait fans paraître ému du danger qu’il	5419000.txt
qu	que	up que’il lui portait fans paraître ému du danger que’il avoit couru ses disciples voulurent l’engager	5419000.txt
vat	bat	 disciples voulurent l’engager à fe car o b s e r vat ions six cher 5 il leur dit a si je suis assez ce	5419000.txt
proteca	protes	it a si je suis assez ce vertueux pour mériter la proteca tion du tien que peuvent mes ce ennemis contre mo	5419000.txt
tion	timon	je suis assez ce vertueux pour mériter la protes  tionn du tien que peuvent mes ce ennemis contre moi a 	5419000.txt
tchou	chou	uses sous tous les climats a la mort du prince de tchouqui le considérait on fit un vaudeville où l’on do	5419000.txt
vez	avez	on fit un vaudeville où l’on doit ce pourquoi arc vezz-vous ainsi perdu votre vertu te si le repentir d	5419000.txt
eft	est	insi perdu votre vertu te si le repentir du passé eft inutile xx ob s t avait on s a préparez-vous du m	5419000.txt
xx	ex	otre vertu te si le repentir du passé est inutile xx ob s t avait on s a préparez-vous du moins à l’av	5419000.txt
ob	On	e vertu te si le repentir du passé est inutile ex ob s t avait on s a préparez-vous du moins à l’avéa 	5419000.txt
avéa	avéra	ex On s t avait on s a préparez-vous du moins à l’avéaa  ni quittez vos grands dcfscins a le gouvernemen	5419000.txt
dcfscins	Pas de correction trouvée	ez-vous du moins à l’avéra  ni quittez vos grands dcfscins a le gouvernement de nos jours eft trop dangereux	5419000.txt
eft	est	os grands dcfscins a le gouvernement de nos jours eft trop dangereux m (i) cependant fa réputation exci	5419000.txt
appellcr	l'appeler	tait quelquefois les princes ou les ministres à l’appellcrr mais bien plus pour fatisfaireleurcuriofité que 	5419000.txt
fatisfaireleurcuriofité	Pas de correction trouvée	u les ministres à l’l'appeler mais bien plus pour fatisfaireleurcuriofité que pour profiter de leslumieresil sentit l’inuti	5419000.txt
leslumieresil	Pas de correction trouvée	pour fatisfaireleurcuriofité que pour profiter de leslumieresil sentit l’inutilité de fon inftruélion dans les co	5419000.txt
fon	Fond	r profiter de leslumieresil sentit l’inutilité de fond inftruélion dans les cours et fe consacra tout e	5419000.txt
inftruélion	Pas de correction trouvée	fiter de leslumieresil sentit l’inutilité de Fond inftruélion dans les cours et fe consacra tout entier à rétab	5419000.txt
hit	Hist	t composa des ouvrages pour enseigner et pour (i) hitt gener ci observations sj la persuader à tous les	5419000.txt
gener	gêner	posa des ouvrages pour enseigner et pour (i) Hist gener ci observations sj la persuader à tous les citoye	5419000.txt
sj	SE	 enseigner et pour (i) Hist gêner ci observations sj la persuader à tous les citoyens confucius ne fe 	5419000.txt
confucius	confusions	 observations SE la persuader à tous les citoyens confuciuss ne fe proposait pas d’amufer des courtisans ou d	5419000.txt
amufer	amuser	ous les citoyens confusions ne fe proposait pas d’amufer des courtisans ou des riches superficiels oisifs 	5419000.txt
qu	que	ine des anciens législateurs dans un grand empire que’elle avoit rendu heureux il jugea qu’il fallait 	5419000.txt
qu	que	rand empire que’elle avoit rendu heureux il jugea que’il fallait que l’expoiîtion en fût d’une simplic	5419000.txt
expoiîtion	exposition	avoit rendu heureux il jugea que’il fallait que l’expoiîtion en fût d’une simplicité et d’une clarté qui la re	5419000.txt
poilîble	possible	onheur passager mais y rendre fiable et sil était poilîble perpétuelle la félicité dont elle avoit joui sous	5419000.txt
xxie	fixe	cité dont elle avoit joui sous les premiers tempe xxie o b s f avait o n s leurs ii voulut doncquefadocf	5419000.txt
ii	ici	les premiers tempe fixe o b s f avait o n s leurs iii voulut doncquefadocfriué fit fut les petits une 	5419000.txt
doncquefadocfriué	Pas de correction trouvée	s tempe fixe o b s f avait o n s leurs ici voulut doncquefadocfriué fit fut les petits une impression profonde et que	5419000.txt
poffiblc	Pas de correction trouvée	ssion profonde et que le souvent en fût sil était poffiblc inaltérable dans tous ceux qui recevraient les in	5419000.txt
infos	Inmos	lc inaltérable dans tous ceux qui recevraient les infos étions il connoifsoit l’cfprit humain il avoit qu	5419000.txt
connoifsoit	Pas de correction trouvée	ans tous ceux qui recevraient les Inmos étions il connoifsoit l’cfprit humain il avoit qu’on ne lui donnait une	5419000.txt
cfprit	esprit	qui recevraient les Inmos étions il connoifsoit l’cfprit humain il avoit qu’on ne lui donnait une connaiss	5419000.txt
qu	que	os étions il connoifsoit l’esprit humain il avoit que’on ne lui donnait une connaissance folie et perm	5419000.txt
qu	que	t permanente des vérités et surtout des principes que’en les lui offrant souvent et en lui en faisant 	5419000.txt
xxii	xi	la même il voulut donc que la clarté observations xxii de fa doctrine fut jointe au retour fréquent de l	5419000.txt
facrifîcr	sacrifier	les agréments du style mais il ne voulut pas leur facrifîcr la clarté il donna à les ouvrages et à les explic	5419000.txt
qu	que	ouvrages et à les explications toute la précision que’il put mais fans interdire la liberté de rappell	5419000.txt
rappeller	rappeler	sion que’il put mais fans interdire la liberté de rappellerles principes et les idées toutes les fois que la 	5419000.txt
confucius	confusions	r voilà pourquoi l’on trouve dans les ouvrages de confuciuss et dans ceux de les disciples tant de précicifio	5419000.txt
précicifion	précision	 confusions et dans ceux de les disciples tant de précicifione cependant des retours plus ou moins fréquents de	5419000.txt
obfcrve	observe	rincipes et des mêmes idées voilà pourquoi l’on y’obfcrve- la plus grande complicité et l’ordre le plus con	5419000.txt
xxx	choix	ressions ou dans la manière d’écrire observations xxxix en un mot on voit dans les écrits et dans les e	5419000.txt
confucius	confusions	 voit dans les écrits et dans les explications de confuciuss un philo force occupé du grand projet de former 	5419000.txt
confucius	confusions	audissements ou de faire rire telle fut la vie de confuciuss tels furent les travaux pour le bonheur de fa pa	5419000.txt
apprisl	appris	ctrine à plus de trois mille disciples leur avoir apprislart de l’enfeigner et leur avoir inspiré le courag	5419000.txt
enfeigner	enseigner	 trois mille disciples leur avoir appris’art de l’enfeigner et leur avoir inspiré le courage la publier au mi	5419000.txt
ii	ici	publier au milieu des cours corrompues et le tome iii c  leur cnfcignement leur zèle répandirent dans 	5419000.txt
cnfcignement	Pas de correction trouvée	ilieu des cours corrompues et le tome ici c  leur cnfcignement leur zèle répandirent dans l’empire un degré de l	5419000.txt
confucius	confusions	 un degré de lumière et un amour pour la doctrine confuciuss qui rendit inutiles les efforts des ministres vi	5419000.txt
inftmétion	n'admettions	détruire s qui convainquit les princes capables d’inftmétionns et de vertu de la nécessité de pénétrer tous le	5419000.txt
chao	chaos	 citoyens des principes de la doctrine de ce rage chaos-hoangti fondateur de la cinquième dynastie une d	5419000.txt
qu	que	r de la cinquième dynastie une des plus illustres que’offrent les annales de la chine chao-hoangti dis	5419000.txt
chao	chaos	lus illustres que’offrent les annales de la chine chaos-hoangti dise alla observations xxie visiter le t	5419000.txt
xxie	fixe	 de la chine chaos-hoangti dise alla observations xxie visiter le tombeau de confucius se lui rendit les	5419000.txt
confucius	confusions	dise alla observations fixe visiter le tombeau de confuciuss se lui rendit les mêmes honneurs que sil eût été	5419000.txt
sétait	s'était	il eût été le maître de l’empire cérémonie qui ne sétaitt point encore pratiquée (i) ses successeurs march	5419000.txt
say	sa	 instituant des académies et ne dédaignent pas de saymontrer les instituteurs et les douleurs de leurs 	5419000.txt
hantchang	hanchant	nstituteurs et les douleurs de leurs sujets enfin hantchangti fait construire une fille où il place l’effigie	5419000.txt
confucius	confusions	ait construire une fille où il place l’effigie de confuciuss se celle de soixante et douze de les disciples ;	5419000.txt
confucius	confusions	as ci  les lettrés élèvent aussitôt des ce ciao à confuciuss dans toutes les a villes de l’empire chinois et 	5419000.txt
rea	réa	s dans toutes les a villes de l’empire chinois et rea  crient les honneurs ou le culte a qu’on lui rend	5419000.txt
qu	que	chinois et réa  crient les honneurs ou le culte a que’on lui rend encore aujourd  d’hui on lui fait de	5419000.txt
aujourd	ajours	les honneurs ou le culte a que’on lui rend encore aujourd d’hui on lui fait des offrandes ce deux fois l’an	5419000.txt
qu	que	lui fait des offrandes ce deux fois l’année ainsi que’à la ce nouvelle et à la pleine lune et ils ce c	5419000.txt
fon	Fond	ouvelle et à la pleine lune et ils ce croient que fond esprit qu’ils invocc quinte rend dans un magnifi	5419000.txt
qu	que	 la pleine lune et ils ce croient que Fond esprit que’ils invocc quinte rend dans un magnifique ce car	5419000.txt
invocc	invoqua	ne lune et ils ce croient que Fond esprit que’ils invocca quinte rend dans un magnifique ce cartouche appe	5419000.txt
siege	Siège	e rend dans un magnifique ce cartouche appelle le siege de l’ef(ij hit gin de la chine t 3 p je observati	5419000.txt
ef	fe	 un magnifique ce cartouche appelle le Siège de l’ef(ij hit gin de la chine t 3 p je observations xxx 	5419000.txt
hit	Hist	gnifique ce cartouche appelle le Siège de l’fe(ij hitt gin de la chine t 3 p je observations xxx et pri	5419000.txt
xxx	choix	’fe(ij Hist gin de la chine t 3 p je observations xxxix et prit fur lequel fon nom eft écrit a en grand	5419000.txt
fon	Fond	ne t 3 p je observations choix et prit fur lequel fond nom eft écrit a en grandes lettres d’or et qu’il	5419000.txt
eft	est	je observations choix et prit fur lequel Fond nom eft écrit a en grandes lettres d’or et qu’il accepte 	5419000.txt
qu	que	l Fond nom est écrit a en grandes lettres d’or et que’il accepte les grains les fruits les soieries et	5419000.txt
qu	que	les grains les fruits les soieries et les parfums que’on brûle ce en fon honneur ainsi que le vin ce d	5419000.txt
fon	Fond	ts les soieries et les parfums que’on brûle ce en fond honneur ainsi que le vin ce de félicité qu’on ré	5419000.txt
qu	que	e en Fond honneur ainsi que le vin ce de félicité que’on répand et les ce chairs des animaux qu’on ice	5419000.txt
qu	que	licité que’on répand et les ce chairs des animaux que’on ice mole (i) de confucius eft donc en effet l	5419000.txt
ice	ive	que’on répand et les ce chairs des animaux que’on ice mole (i) de confucius eft donc en effet le docteu	5419000.txt
mole	môle	on répand et les ce chairs des animaux que’on ive mole (i) de confucius eft donc en effet le docteur de 	5419000.txt
confucius	confusions	 les ce chairs des animaux que’on ive môle (i) de confuciuss eft donc en effet le docteur de la chine les fil	5419000.txt
eft	est	irs des animaux que’on ive môle (i) de confusions eft donc en effet le docteur de la chine les filles c	5419000.txt
fon	Fond	t le docteur de la chine les filles consacrées en fond honneur dans toutes les villes et le culte qu’on	5419000.txt
qu	que	n Fond honneur dans toutes les villes et le culte que’on lui rend donnent à fa doctrine une autorité i	5419000.txt
hit	Hist	 en assurent la perpétuité dans tout l’empire (i) hitt delà chine t il p 301 au milieu des troubles des	5419000.txt
confucius	confusions	 agitent l’empire les ciao élevés en l’honneur de confuciuss sont pourra morale des ailes sacrés dans les tem	5419000.txt
confucius	confusions	eureux le chinois jette les yeux fur l’effigie de confuciuss fur le cartouche ou fon esprit repose et y voit 	5419000.txt
fon	Fond	x fur l’effigie de confusions fur le cartouche ou fond esprit repose et y voit les devoirs et les remèd	5419000.txt
eft	est	aux malheurs de l’empire au moment ou un empereur eft détrôné ou bien où une dynastie éteint confucius 	5419000.txt
confucius	confusions	pereur est détrôné ou bien où une dynastie éteint confuciuss redevient le maître de l’empire et le législateu	5419000.txt
xxx	choix	ouvelle dynastie et obligé de rendre observations xxxix hommage à ce philosophe de fe reconnaître fon d	5419000.txt
fon	Fond	s choix hommage à ce philosophe de fe reconnaître fond disciple et de fe conformer aux principes de fa 	5419000.txt
eft	est	e fe conformer aux principes de fa doctrine telle eft l’origine de l’autorité de la doctrine de confuci	5419000.txt
confucius	confusions	lle est l’origine de l’autorité de la doctrine de confuciuss exposée par lui-même ou par les disciples et con	5419000.txt
claflîques	classiques	par les disciples et contenue dans les fax livres claflîques traduits par le p noël ils forment lestsée-chu ou	5419000.txt
lestsée	lestée	res classiques traduits par le p noël ils forment lestséechu ou les livres canonique du second ordre ils so	5419000.txt
fix	fixa	 canonique du second ordre ils son t au nombre de fixa l’ecole des adultes ou  la grande scie nce le tu	5419000.txt
nce	noce	re de fixa l’école des adultes ou  la grande scie ncee le tue milieu le livre des sentences mercis la p	5419000.txt
piétéfilialesel	Pas de correction trouvée	ce le tue milieu le livre des sentences mercis la piétéfilialesel’école des enfants les livres canonique du second 	5419000.txt
aujourdhui	aujourd'hui	ue du second ce sont ces livres que l’on enseigne aujourdhuii à la chine dans les écoles et personne ne peut p	5419000.txt
qu	que	 peut parvenir au grade de docteur ni aux charges que’après avoir subi plusieurs examens fur ces livre	5419000.txt
not	mot	 apprendre par mémoire à tous les chinois (i) (i) not’lprocem observations xxxîij les livres canonique 	5419000.txt
xxxîij	voir	tous les chinois (i) (i) mot’lprocem observations xxxîijes livres canonique du second ordre sont donc en e	5419000.txt
daffîques	d'affiquet	que du second ordre sont donc en effet les livres daffîquest de la chine et contiennent le systême de philo s	5419000.txt
systême	système	s livres d'affiquet de la chine et contiennent le systême de philo sophie morale et politique qui existe en	5419000.txt
sophie	soie	et de la chine et contiennent le système de philo sophieorale et politique qui existe encore aujourdhui da	5419000.txt
aujourdhui	aujourd'hui	 philo soie morale et politique qui existe encore aujourdhuii dans cet empire et qui le régit depuis trois mil	5419000.txt
colleâdon	colletons	 des anciens feraient entrer ces livres dans leur colleâdon mais j’ai vu avec regret qu’ils s’étoient bornés 	5419000.txt
qu	que	vres dans leur colletons mais j’ai vu avec regret que’ils s’étoient bornés à nous donner des pensées d	5419000.txt
étoient	étoilent	leur colletons mais j’ai vu avec regret que’ils s’étoientt bornés à nous donner des pensées détachées de qu	5419000.txt
